num,Z,X,Y,ACRES,DEVACRES,SQMILE,CBD,PRKCSTPERM,PRKCSTTEMP,POP5,EMP5,DEVACRE5,URBANVAL,ATYPE,TERMTIME
1,1,410051,4604806,375.21,374.61,0.58627,0,0,0,390,283,5938,0.16,1,1
2,2,408993,4603544,663.53,638.02,1.03677,0,0,0,385,327,6703,0.16,1,1
3,3,410126,4602742,471.53,470.79,0.73677,0,0,0,385,327,6703,0.16,1,1
4,4,408249,4601825,840.97,779.84,1.31402,0,0,0,250,316,6839,0.13,1,1
5,5,409373,4600722,437.07,395.38,0.68292,0,0,0,248,1010,6774,0.35,1,1
6,6,410283,4600358,901.62,900.97,1.40878,0,0,0,220,1049,6879,0.35,1,1
7,7,411821,4601943,3318.36,1615.31,5.18494,0,0,0,483,352,7143,0.17,1,1
8,8,411935,4605642,582.09,501.95,0.90952,0,0,0,354,257,6443,0.14,1,1
9,9,412641,4606013,135.46,135.46,0.21166,0,0,0,431,220,6521,0.14,1,1
10,10,413394,4603600,1031.53,1026.17,1.61177,0,0,0,435,240,6642,0.14,1,1
11,11,414376,4600355,1037.96,978.57,1.62181,0,0,0,2737,1086,4309,1.16,2,1
12,12,413129,4598915,754.35,743.4,1.17867,0,0,0,1316,1294,3066,1.3,2,1
13,13,414524,4598638,210.98,203.5,0.32966,0,0,0,3585,735,1750,2.92,2,1
14,14,408607,4598032,1707.42,1254.02,2.66784,0,0,0,240,809,4823,0.4,1,1
15,15,410463,4598152,411.7,410.19,0.64328,0,0,0,156,1022,4366,0.52,1,1
16,16,409823,4596661,599.78,597.25,0.93716,0,0,0,136,709,3892,0.41,1,1
17,17,410935,4596548,278.35,274.89,0.43492,0,0,0,118,1000,2662,0.82,1,1
18,18,408644,4595521,519.18,453.97,0.81122,0,0,0,136,32,6808,0.03,1,1
19,19,409378,4593363,4746.61,3139.59,7.41658,0,0,0,90,106,6404,0.05,1,1
20,20,411629,4592277,511.19,510.91,0.79873,0,0,0,1151,845,1950,1.49,2,1
21,21,409390,4590129,1613.52,954.92,2.52113,0,0,0,689,110,3500,0.26,1,1
22,22,410960,4588080,1686.9,1402.99,2.63578,0,0,0,756,86,2349,0.4,1,1
23,23,411885,4585699,93.07,79.09,0.14542,0,0,0,522,184,1028,0.88,1,1
24,24,412246,4584236,130.89,118.43,0.20452,0,0,0,1159,96,1257,1.08,2,1
25,25,411691,4598033,321.9,309.31,0.50297,0,0,0,105,1131,2705,0.9,1,1
26,26,411629,4596947,227.06,226.71,0.35478,0,0,0,118,1000,2662,0.82,1,1
27,27,412397,4597091,153.14,152.62,0.23928,0,0,0,158,3424,1961,3.7,2,1
28,28,412234,4596259,213.33,213.13,0.33333,0,0,0,184,2681,1952,2.94,2,1
29,29,412644,4598030,239.63,239.59,0.37442,0,0,0,685,1249,2324,1.41,2,1
30,30,413551,4597453,135.6,135.2,0.21188,0,0,0,2250,3046,1315,6.5,3,1
31,31,413461,4596950,203.2,202.26,0.3175,0,0,0,1467,3187,1450,5.56,3,1
32,32,413461,4596299,207.27,207.11,0.32386,0,0,0,1182,3668,1263,6.95,3,1
33,33,414372,4597691,101.66,101.66,0.15884,0,0,0,4307,855,1070,5.68,3,1
34,34,414952,4597663,113.05,113.05,0.17664,0,0,0,4893,809,1044,6.29,3,1
35,35,414353,4596960,84.96,84.96,0.13275,0,0,0,4457,975,1007,6.43,3,1
36,36,414934,4596975,108.84,108.84,0.17006,0,0,0,5027,1298,769,10.03,3,1
37,37,414344,4596277,81.36,78.9,0.12713,0,0,0,3299,4341,803,15.29,4,2
38,38,414922,4596285,118.12,118.12,0.18456,0,0,0,4522,3096,694,15.76,4,2
39,39,415761,4598442,262.43,257.17,0.41005,0,0,0,4040,746,877,6.37,3,1
40,40,415471,4597589,56.63,56.63,0.08848,0,0,0,4834,753,826,7.74,3,1
41,41,415844,4597575,54.37,54.37,0.08495,0,0,0,4259,699,749,7.61,3,1
42,42,415460,4596961,64.04,64.04,0.10006,0,0,0,4731,999,629,10.81,3,1
43,43,415850,4596949,64.21,64.21,0.10033,0,0,0,3676,770,496,10.62,3,1
44,44,415446,4596407,42.72,42.72,0.06675,0,0,0,4767,2465,667,14.8,3,1
45,45,415839,4596394,43.53,43.53,0.06802,0,0,0,3901,1497,547,12.79,3,1
46,46,415430,4595807,72.92,72.92,0.11394,0,0,0,3508,2391,581,14.56,3,1
47,47,415826,4595797,75.01,75.01,0.1172,0,0,0,2634,1500,487,11.78,3,1
48,48,416173,4597654,31.61,31.61,0.04939,0,0,0,3600,523,691,6.78,3,1
49,49,416266,4596996,76.4,76.4,0.11938,0,0,0,3494,252,483,8.32,3,1
50,50,416501,4597109,31.96,31.96,0.04994,0,0,0,3470,104,497,7.41,3,1
51,51,416760,4597223,152.76,54.17,0.23869,0,0,0,3562,102,500,7.55,3,1
52,52,416350,4596476,62.25,62.25,0.09727,0,0,0,3474,247,532,7.49,3,1
53,53,416925,4596274,81.96,78.65,0.12806,0,0,0,2946,142,768,4.22,2,1
54,54,416300,4596111,45.98,45.98,0.07184,0,0,0,3304,647,516,8.99,3,1
55,55,416171,4595637,35.71,35.71,0.0558,0,0,0,2619,1152,788,6.34,3,1
56,56,417157,4595651,435.97,339.17,0.6812,0,0,0,2453,377,852,3.79,2,1
57,57,412223,4595505,249.94,238.46,0.39053,0,0,0,99,2578,1945,2.79,2,1
58,58,413391,4595551,248.04,247.94,0.38756,0,0,0,917,3761,1184,7.35,3,1
59,59,412330,4594692,190.3,188.87,0.29734,0,0,0,1585,1505,1968,2.39,2,1
60,60,413162,4594567,195.74,195.74,0.30584,0,0,0,2303,1636,1659,3.43,2,1
61,61,412499,4593754,231.93,230.26,0.36239,0,0,0,1488,1834,2138,2.47,2,1
62,62,414039,4595398,47.72,47.72,0.07456,0,0,0,2907,2369,794,9.84,3,1
63,63,414375,4595701,45.44,45.44,0.071,0,0,0,3426,2474,823,10.38,3,1
64,64,414901,4595686,77.58,77.58,0.12122,0,0,0,3828,3227,625,16.8,4,2
65,65,414360,4595282,34.64,34.64,0.05413,0,0,0,3675,2185,609,13.45,3,1
66,66,414886,4595150,97.75,97.75,0.15273,0,0,0,4104,2902,598,16.92,4,2
67,67,413883,4594716,88.38,88.38,0.13809,0,0,0,3795,2026,1219,6.55,3,1
68,68,414344,4594726,75.15,75.15,0.11742,0,0,0,4210,2476,878,10.63,3,1
69,69,414872,4594590,85.38,85.38,0.13341,0,0,0,5285,1563,741,11.5,3,1
70,70,413777,4593830,347.94,346.27,0.54366,0,0,0,3776,2702,1545,6.06,3,1
71,71,414790,4593759,198.15,198.15,0.30961,0,0,0,5449,3142,1434,8.33,3,1
72,72,415304,4595163,57.42,57.42,0.08972,0,0,0,4268,2247,628,14.21,3,1
73,73,415789,4595117,57.77,57.77,0.09027,0,0,0,2912,1379,499,11.55,3,1
74,74,416251,4595226,57.11,56.13,0.08923,0,0,0,2335,444,522,6.23,3,1
75,75,415398,4594574,51.31,51.31,0.08017,0,0,0,5272,1813,975,9.26,3,1
76,76,415793,4594562,52.47,52.47,0.08198,0,0,0,3196,1148,836,6.66,3,1
