coefficient_name,value,constrain
coef_HasChildren0to5_1day,0,FALSE
coef_HasChildren6to12_1day,0,FALSE
coef_OneAdultInHH_1day,0.177,FALSE
coef_2plusAdultsInHH_1day,0,FALSE
coef_Female_1day,0,FALSE
coef_PartTimeWorker_1day,0,FALSE
coef_CollegeStudent_1day,0,FALSE
coef_PaysToPark_1day,0.457,FALSE
coef_Income60to100k_1day,0.56,FALSE
coef_Income100to150k_1day,0.644,FALSE
coef_Income150kplus_1day,0.92,FALSE
coef_0Autos_1day,0,FALSE
coef_1Auto_1day,0,FALSE
coef_3plusAutos_1day,0,FALSE
coef_DistanceToWork_1day,0.016,FALSE
coef_HasChildren0to5_23day,0,FALSE
coef_HasChildren6to12_23day,0.517,FALSE
coef_OneAdultInHH_23day,0,FALSE
coef_2plusAdultsInHH_23day,0,FALSE
coef_Female_23day,0,FALSE
coef_PartTimeWorker_23day,0.425,FALSE
coef_CollegeStudent_23day,0.6,FALSE
coef_PaysToPark_23day,0,FALSE
coef_Income60to100k_23day,0.389,FALSE
coef_Income100to150k_23day,0.193,FALSE
coef_Income150kplus_23day,0.765,FALSE
coef_0Autos_23day,0.407,FALSE
coef_1Auto_23day,0,FALSE
coef_3plusAutos_23day,-0.73,FALSE
coef_DistanceToWork_23day,0,FALSE
coef_HasChildren0to5_4day,-0.864,FALSE
coef_HasChildren6to12_4day,-0.81,FALSE
coef_OneAdultInHH_4day,-0.043,FALSE
coef_2plusAdultsInHH_4day,0,FALSE
coef_Female_4day,0,FALSE
coef_PartTimeWorker_4day,1.112,FALSE
coef_CollegeStudent_4day,0,FALSE
coef_PaysToPark_4day,0,FALSE
coef_Income60to100k_4day,0,FALSE
coef_Income100to150k_4day,0,FALSE
coef_Income150kplus_4day,0,FALSE
coef_0Autos_4day,0,FALSE
coef_1Auto_4day,0,FALSE
coef_3plusAutos_4day,0,FALSE
coef_DistanceToWork_4day,0,FALSE
coef_calib_No_Telecommute_asc,-0.013,FALSE
coef_calib_1_day_week_asc,-3.503,FALSE
coef_calib_2_3_days_week_asc,-4.206,FALSE
coef_calib_4_days_week_asc,-6.219,FALSE
coefj_RETL_1day,0.312,FALSE
coefj_FOOD_1day,-0.368,FALSE
coefj_MANU_1day,0.038,FALSE
coefj_WSLE_1day,0,FALSE
coefj_OFFI_1day,1.782,FALSE
coefj_GVED_1day,-0.56,FALSE
coefj_HLTH_1day,0.158,FALSE
coefj_OTHR_1day,1.535,FALSE
coefj_AGRI_1day,2.262,FALSE
coefj_MING_1day,-2.055,FALSE
coefj_CONS_1day,0.816,FALSE
coefj_RETL_23day,0.125,FALSE
coefj_FOOD_23day,-0.148,FALSE
coefj_MANU_23day,0.015,FALSE
coefj_WSLE_23day,0,FALSE
coefj_OFFI_23day,0.712,FALSE
coefj_GVED_23day,-0.224,FALSE
coefj_HLTH_23day,0.063,FALSE
coefj_OTHR_23day,0.614,FALSE
coefj_AGRI_23day,0.904,FALSE
coefj_MING_23day,-0.82,FALSE
coefj_CONS_23day,0.326,FALSE
coefj_RETL_4day,0.078,FALSE
coefj_FOOD_4day,-0.092,FALSE
coefj_MANU_4day,0.01,FALSE
coefj_WSLE_4day,0,FALSE
coefj_OFFI_4day,0.445,FALSE
coefj_GVED_4day,-0.14,FALSE
coefj_HLTH_4day,0.039,FALSE
coefj_OTHR_4day,0.384,FALSE
coefj_AGRI_4day,0.566,FALSE
coefj_MING_4day,-0.517,FALSE
coefj_CONS_4day,0.204,FALSE
