coefficient_name,value,constrain
coef_HasChildren0to5_1day,0,F
coef_HasChildren6to12_1day,0,F
coef_OneAdultInHH_1day,0.177,F
coef_2plusAdultsInHH_1day,0,F
coef_Female_1day,0,F
coef_PartTimeWorker_1day,0,F
coef_CollegeStudent_1day,0,F
coef_PaysToPark_1day,0.457,F
coef_Income60to100k_1day,0.56,F
coef_Income100to150k_1day,0.644,F
coef_Income150kplus_1day,0.92,F
coef_0Autos_1day,0,F
coef_1Auto_1day,0,F
coef_3plusAutos_1day,0,F
coef_DistanceToWork_1day,0.016,F
coef_HasChildren0to5_23day,0,F
coef_HasChildren6to12_23day,0.517,F
coef_OneAdultInHH_23day,0,F
coef_2plusAdultsInHH_23day,0,F
coef_Female_23day,0,F
coef_PartTimeWorker_23day,0.425,F
coef_CollegeStudent_23day,0.6,F
coef_PaysToPark_23day,0,F
coef_Income60to100k_23day,0.389,F
coef_Income100to150k_23day,0.193,F
coef_Income150kplus_23day,0.765,F
coef_0Autos_23day,0.407,F
coef_1Auto_23day,0,F
coef_3plusAutos_23day,-0.73,F
coef_DistanceToWork_23day,0,F
coef_HasChildren0to5_4day,-0.864,F
coef_HasChildren6to12_4day,-0.81,F
coef_OneAdultInHH_4day,-0.043,F
coef_2plusAdultsInHH_4day,0,F
coef_Female_4day,0,F
coef_PartTimeWorker_4day,1.112,F
coef_CollegeStudent_4day,0,F
coef_PaysToPark_4day,0,F
coef_Income60to100k_4day,0,F
coef_Income100to150k_4day,0,F
coef_Income150kplus_4day,0,F
coef_0Autos_4day,0,F
coef_1Auto_4day,0,F
coef_3plusAutos_4day,0,F
coef_DistanceToWork_4day,0,F
coef_calib_No_Telecommute_asc,-0.013380448,F
coef_calib_1_day_week_asc,-3.5028756,F
coef_calib_2_3_days_week_asc,-4.205827551,F
coef_calib_4_days_week_asc,-6.218810634,F
coefj_RETL_1day,0,F
coefj_FOOD_1day,0,F
coefj_MANU_1day,0,F
coefj_WSLE_1day,0,F
coefj_OFFI_1day,0,F
coefj_GVED_1day,0,F
coefj_HLTH_1day,0,F
coefj_OTHR_1day,0,F
coefj_AGRI_1day,0,F
coefj_MING_1day,0,F
coefj_CONS_1day,0,F
coefj_RETL_23day,0,F
coefj_FOOD_23day,0,F
coefj_MANU_23day,0,F
coefj_WSLE_23day,0,F
coefj_OFFI_23day,0,F
coefj_GVED_23day,0,F
coefj_HLTH_23day,0,F
coefj_OTHR_23day,0,F
coefj_AGRI_23day,0,F
coefj_MING_23day,0,F
coefj_CONS_23day,0,F
coefj_RETL_4day,0,F
coefj_FOOD_4day,0,F
coefj_MANU_4day,0,F
coefj_WSLE_4day,0,F
coefj_OFFI_4day,0,F
coefj_GVED_4day,0,F
coefj_HLTH_4day,0,F
coefj_OTHR_4day,0,F
coefj_AGRI_4day,0,F
coefj_MING_4day,0,F
coefj_CONS_4day,0,F
