purpose,mode,asim_trips,asim_share,wfrc_trips,wfrc_share,error,close_enough,adjust
hbw,TNC,1024,6.132647243422975e-4,NA,1.5e-4,4.6326472434229753e-4,TRUE,-1.408161399096207
hbw,bike,64552,0.03865963328685937,29406.288699987235,0.01718043151532161,0.021479201771537757,TRUE,-0.8110249545922763
hbw,crt,18850,0.011289101615090145,10820.744699997507,0.00632194919800155,0.004967152417088594,TRUE,-0.5798102234738259
hbw,drive_alone,952925,0.5706985228944178,1328609.310498788,0.7762312851690463,-0.20553276227462847,FALSE,0.30758943436947817
hbw,express_bus,2875,0.0017218125805508841,727.7589999999161,4.251884277788148e-4,0.0012966241527720694,TRUE,-1.398600410675253
hbw,local_bus,166568,0.09975613144946076,18142.11039998552,0.01059940914170819,0.08915672230775257,FALSE,-2.241930263829772
hbw,lrt,57620,0.034508118570901546,19026.531399997544,0.01111612631661049,0.023391992254291054,TRUE,-1.1327977419386925
hbw,sr2,252204,0.15104278958791484,162166.110099506,0.09474448738143132,0.05629830220648352,FALSE,-0.46637950982721965
hbw,sr3,74869,0.04483839516287449,95617.24079913842,0.05586374649291688,-0.011025351330042392,TRUE,0.21985082033871337
hbw,walk,78265,0.04687223012758781,47099.16119999338,0.02751737635718479,0.01935485377040302,TRUE,-0.5326077192709155
hbo,TNC,113676,0.02951427473543188,NA,0.0038,0.025714274735431877,FALSE,-2.0498729689134167
hbo,bike,139125,0.036121727300106966,80432.14769997894,0.0173190469567206,0.018802680343386367,TRUE,-0.7350876725332409
hbo,crt,81081,0.02105147005369253,4180.019600019374,9.000624477017036e-4,0.020151407605990827,TRUE,-3.152261525699602
hbo,drive_alone,700157,0.18178530257869538,1394415.100207185,0.30025234049114935,-0.11846703791245397,FALSE,0.5017969214971558
hbo,express_bus,14930,0.003876351400471497,19.38389999999949,4.173837003042696e-6,0.0038721775634684547,TRUE,-6.833813872145879
hbo,local_bus,146003,0.03790749722190489,17697.178099981862,0.00381064371995022,0.03409685350195467,FALSE,-2.297350778172024
hbo,lrt,46265,0.012012015910436291,15411.15359999328,0.00331840564361291,0.008693610266823382,TRUE,-1.286423034910705
hbo,sr2,964828,0.2505031727403961,1076537.93819921,0.23180546131765395,0.018697711422742125,TRUE,-0.07757309497387282
hbo,sr3,1184214,0.3074634693474852,1625739.336606138,0.3500622166039323,-0.04259874725644708,TRUE,0.1297546190917758
hbo,walk,461281,0.11976471871137928,429711.72420006094,0.09252764898227596,0.027237069729103322,TRUE,-0.25802163296197567
nhb,TNC,40091,0.02042071012788985,NA,0.004,0.01642071012788985,FALSE,-1.6302552271084212
nhb,bike,25156,0.012813434036995761,15278.977299982042,0.00640716713813352,0.006406266898862241,TRUE,-0.6930769255724142
nhb,crt,12417,0.006324710225686769,1243.006899994811,5.212490866210879e-4,0.005803461139065681,TRUE,-2.49599147759976
nhb,drive_alone,691012,0.35197315474528995,951560.64690361,0.3990324736452781,-0.047059318899988156,FALSE,0.12548789339859842
nhb,express_bus,2678,0.0013640632990568708,7.037000000000105,2.950932792543599e-6,0.0013611123662643273,TRUE,-6.13610192302682
nhb,local_bus,98608,0.05022686848147869,4881.2427000125035,0.00204692612645029,0.0481799423550284,FALSE,-3.2002108948912835
nhb,lrt,8636,0.004398823992029551,7295.248700019795,0.00305922816806155,0.0013395958239680009,TRUE,-0.36317457917261414
nhb,sr2,467968,0.2383636945231687,564399.0177008874,0.23667806869588165,0.0016856258272870406,TRUE,-0.0070967777252506645
nhb,sr3,483121,0.2460820108676828,708879.6430956359,0.2972653381806855,-0.05118332731300271,FALSE,0.18896027662574924
nhb,walk,133565,0.068032529700721045,131124.87389999558,0.05498659802609571,0.013045931674625338,TRUE,-0.21289648545487427
