coefficient_name,value,constrain,value
coef_one,1,T,1
coef_nest_root,1,T,1
coef_nest_AUTO,0.72,T,0.72
coef_nest_AUTO_DRIVEALONE,0.35,T,0.35
coef_nest_AUTO_SHAREDRIDE2,0.35,T,0.35
coef_nest_AUTO_SHAREDRIDE3,0.35,T,0.35
coef_nest_NONMOTORIZED,0.72,T,0.72
coef_nest_TRANSIT,0.72,T,0.72
coef_nest_TRANSIT_WALKACCESS,0.5,T,0.5
coef_nest_TRANSIT_DRIVEACCESS,0.5,T,0.5
coef_nest_RIDEHAIL,0.36,T,0.36
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F,-0.0175
coef_ivt_school_univ,-0.0224,F,-0.0224
coef_ivt_work,-0.0134,F,-0.0134
coef_ivt_atwork,-0.0188,F,-0.0188
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,F,15
coef_topology_walk_multiplier_atwork,7.5,F,7.5
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,F,20
coef_topology_bike_multiplier_atwork,10,F,10
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F,2.2
coef_topology_trn_multiplier_atwork,2,F,2
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F,0
coef_age1619_da_multiplier_school_univ,-1.3813,F,-1.3813
coef_age1619_da_multiplier_atwork,0.0032336,F,0.0032336
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,F,0
coef_age010_trn_multiplier_school_univ,-1.5548,F,-1.5548
coef_age010_trn_multiplier_atwork,0.000722,F,0.000722
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F,-1.366
coef_age16p_sr_multiplier_school_univ_work_atwork,0,F,0
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,F,0
coef_hhsize1_sr_multiplier_work,-0.734588,F,-0.734588
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,F,0
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F,-0.6359
walk_ASC_no_auto_eatout,3.53292911591648,F,5.1251173
walk_ASC_no_auto_escort,1.20901861591648,F,2.8012068
walk_ASC_no_auto_othdiscr,1.67440641591648,F,3.2665946
walk_ASC_no_auto_othmaint,-0.304889184083517,F,1.287299
walk_ASC_no_auto_school,16.8223688159165,F,18.414557
walk_ASC_no_auto_shopping,0.784689115916483,F,2.3768773
walk_ASC_no_auto_social,0.275903315916484,F,1.8680915
walk_ASC_no_auto_univ,4.81677881591648,F,6.408967
walk_ASC_no_auto_work,4.17502751591649,F,5.7672157
walk_ASC_no_auto_atwork,5.07702481591648,F,6.669213
walk_ASC_auto_deficient_eatout,1.68241681591648,F,3.274605
walk_ASC_auto_deficient_escort,-2.49423474408352,F,-0.90204656
walk_ASC_auto_deficient_othdiscr,0.657219315916483,F,2.2494075
walk_ASC_auto_deficient_othmaint,-0.223147784083516,F,1.3690404
walk_ASC_auto_deficient_school,1.66517421591648,F,3.2573624
walk_ASC_auto_deficient_shopping,0.677985115916483,F,2.2701733
walk_ASC_auto_deficient_social,1.27799581591648,F,2.870184
walk_ASC_auto_deficient_univ,2.91372181591648,F,4.50591
walk_ASC_auto_deficient_work,0.808853515916484,F,2.4010417
walk_ASC_auto_deficient_atwork,-0.666727254083517,F,0.92546093
walk_ASC_auto_sufficient_eatout,-0.0404978840835165,F,1.5516903
walk_ASC_auto_sufficient_escort,-2.40379478408352,F,-0.8116066
walk_ASC_auto_sufficient_othdiscr,-0.328840584083517,F,1.2633476
walk_ASC_auto_sufficient_othmaint,-0.792224784083517,F,0.7999634
walk_ASC_auto_sufficient_school,-0.944502584083517,F,0.6476856
walk_ASC_auto_sufficient_shopping,-0.860921884083516,F,0.7312663
walk_ASC_auto_sufficient_social,0.115030415916483,F,1.7072186
walk_ASC_auto_sufficient_univ,-0.531421684083517,F,1.0607665
walk_ASC_auto_sufficient_work,-1.53892284708352,F,0.053265337
walk_ASC_auto_sufficient_atwork,-0.914972184083516,F,0.677216
bike_ASC_no_auto_eatout,-1.11200187153659,F,0.86807096
bike_ASC_no_auto_escort,-2.69628483153659,F,-0.716212
bike_ASC_no_auto_othdiscr,-2.35649603153659,F,-0.3764232
bike_ASC_no_auto_othmaint,-0.440639431536594,F,1.5394334
bike_ASC_no_auto_school,10.1186621684634,F,12.098735
bike_ASC_no_auto_shopping,-1.14591733153659,F,0.8341555
bike_ASC_no_auto_social,-1.95948962153659,F,0.02058321
bike_ASC_no_auto_univ,2.31444276846341,F,4.2945156
bike_ASC_no_auto_work,1.21393596846341,F,3.1940088
bike_ASC_no_auto_atwork,-2.88733128153659,F,-0.90725845
bike_ASC_auto_deficient_eatout,-3.54918343153659,F,-1.5691106
bike_ASC_auto_deficient_escort,-6.50800083153659,F,-4.527928
bike_ASC_auto_deficient_othdiscr,-2.07254117153659,F,-0.09246834
bike_ASC_auto_deficient_othmaint,-3.49853773153659,F,-1.5184649
bike_ASC_auto_deficient_school,-2.50814063153659,F,-0.5280678
bike_ASC_auto_deficient_shopping,-2.85591749153659,F,-0.87584466
bike_ASC_auto_deficient_social,-1.34555143153659,F,0.6345214
bike_ASC_auto_deficient_univ,-2.64930783153659,F,-0.669235
bike_ASC_auto_deficient_work,-1.72688315153659,F,0.25318968
bike_ASC_auto_deficient_atwork,-2.78748113153659,F,-0.8074083
bike_ASC_auto_sufficient_eatout,-3.18041993153659,F,-1.2003471
bike_ASC_auto_sufficient_escort,-7.04318123153659,F,-5.0631084
bike_ASC_auto_sufficient_othdiscr,-3.05153253153659,F,-1.0714597
bike_ASC_auto_sufficient_othmaint,-4.7883752315366,F,-2.8083024
bike_ASC_auto_sufficient_school,-4.09354143153659,F,-2.1134686
bike_ASC_auto_sufficient_shopping,-4.54628313153659,F,-2.5662103
bike_ASC_auto_sufficient_social,-3.34814383153659,F,-1.368071
bike_ASC_auto_sufficient_univ,-3.91985603153659,F,-1.9397832
bike_ASC_auto_sufficient_work,-3.56009603153659,F,-1.5800232
bike_ASC_auto_sufficient_atwork,13.7400971684634,F,15.72017
sr2_ASC_no_auto_all,0,F,0
sr2_ASC_auto_deficient_eatout,0.825470967493636,F,0.5882345
sr2_ASC_auto_deficient_escort,0.237236467493636,F,0
sr2_ASC_auto_deficient_othdiscr,0.897387767493636,F,0.6601513
sr2_ASC_auto_deficient_othmaint,0.499389167493636,F,0.2621527
sr2_ASC_auto_deficient_school,0.361980117493636,F,0.12474365
sr2_ASC_auto_deficient_shopping,0.481334027493636,F,0.24409756
sr2_ASC_auto_deficient_social,2.09308926749364,F,1.8558528
sr2_ASC_auto_deficient_univ,-1.45499813250636,F,-1.6922346
sr2_ASC_auto_deficient_work,-0.33803123,F,-0.33803123
sr2_ASC_auto_deficient_atwork,-1.87300563250636,F,-2.1102421
sr2_ASC_auto_sufficient_eatout,1.10004201749364,F,0.86280555
sr2_ASC_auto_sufficient_escort,0.237236467493636,F,0
sr2_ASC_auto_sufficient_othdiscr,0.734082637493636,F,0.49684617
sr2_ASC_auto_sufficient_othmaint,0.495415297493636,F,0.25817883
sr2_ASC_auto_sufficient_school,-1.36902923250636,F,-1.6062657
sr2_ASC_auto_sufficient_shopping,0.434943537493636,F,0.19770707
