coefficient_name,value,constrain
coef_one,1,TRUE
coef_nest_root,1,TRUE
coef_nest_AUTO,0.72,TRUE
coef_nest_AUTO_DRIVEALONE,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE2,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE3,0.35,TRUE
coef_nest_NONMOTORIZED,0.72,TRUE
coef_nest_TRANSIT,0.72,TRUE
coef_nest_TRANSIT_WALKACCESS,0.5,TRUE
coef_nest_TRANSIT_DRIVEACCESS,0.5,TRUE
coef_nest_RIDEHAIL,0.36,TRUE
coef_ivt_othmaint_social,-0.0175,FALSE
coef_ivt_work,-0.022,FALSE
coef_ivt_univ_school,-0.0271,FALSE
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.0279,FALSE
coef_age1619_da,0,FALSE
coef_age010_trn,0,FALSE
coef_age16p_sr,0,FALSE
coef_hhsize1_sr,-0.7346,FALSE
coef_hhsize2_sr,0,FALSE
coef_walktimeshort_atwork,1.34767,FALSE
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_biketimeshort_atwork,2.69535,FALSE
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4,TRUE
coef_dtim_atwork,1.34767,FALSE
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_ivt_ferry_atwork,0.539,FALSE
coef_ivt_ferry_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.8,TRUE
coef_ivt_lrt_atwork,0.60645,FALSE
coef_ivt_lrt_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.9,TRUE
coef_long_iwait_atwork,0.6738,FALSE
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1,TRUE
coef_short_iwait_atwork,1.34767,FALSE
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wacc_atwork,1.34767,FALSE
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_waux_atwork,1.34767,FALSE
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wegr_atwork,1.34767,FALSE
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_xwait_atwork,1.34767,FALSE
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_bike_ASC_rh,-7,TRUE
coef_bike_ASC_walk_univ,-1.93208818408352,FALSE
coef_bike_ASC_walk_othmaint,-2.16278818408352,FALSE
coef_bike_ASC_walk_shopping,-2.61668818408352,FALSE
coef_bike_ASC_walk_othdiscr,-2.94988818408352,FALSE
coef_bike_ASC_walk_work,-3.42548818408352,FALSE
coef_bike_ASC_walk_social,-14.8305881840835,FALSE
coef_bike_ASC_walk_escort,-15.1124881840835,FALSE
coef_bike_ASC_walk_school,-3.62538818408352,FALSE
coef_bike_ASC_walk_eatout,-4.29118818408352,FALSE
coef_bike_ASC_walk_atwork,-6.64538818408352,FALSE
coef_drive_transit_ASC_commuter_work,-1.67307333882645,
coef_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr_atwork,-1.56137333882645,
coef_drive_transit_ASC_commuter_escort,-1.53007333882645,
coef_drive_transit_ASC_commuter_univ_school,-1.16607333882645,
coef_drive_transit_ASC_express_work,-2.9840559564691,
coef_drive_transit_ASC_express_univ_school,-2.3062559564691,
coef_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr_atwork,-1.9638559564691,
coef_drive_transit_ASC_express_escort,-1.8739559564691,
coef_drive_transit_ASC_ferry_work,0.5277,
coef_drive_transit_ASC_ferry_escort,0.6005,
coef_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr_atwork,0.6466,
coef_drive_transit_ASC_ferry_univ_school,1.7237,
coef_drive_transit_ASC_heavyrail_work,-1.72047333882645,
coef_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr_atwork,-1.53397333882645,
coef_drive_transit_ASC_heavyrail_escort,-1.50697333882645,
coef_drive_transit_ASC_heavyrail_univ_school,-1.22527333882645,
coef_drive_transit_ASC_lightrail_work,-1.46980351599533,
coef_drive_transit_ASC_lightrail_escort,-1.40670351599533,
coef_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr_atwork,-1.39270351599534,
coef_drive_transit_ASC_lightrail_univ_school,-0.488303515995335,
coef_drive_transit_ASC_rh,-6.25,
coef_joint_auto_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-9,
coef_joint_auto_ASC_rh_work_univ_school_escort_atwork,-2,
coef_joint_auto_ASC_sr2_eatout_othmaint_social_othdiscr,0.173836467493636,
coef_joint_auto_ASC_sr2_work_univ_school_escort_atwork,0.237236467493636,
coef_joint_auto_ASC_sr2_shopping,0.824736467493636,
coef_joint_auto_ASC_sr3p_eatout_othmaint_social_othdiscr,0.503718421114124,
coef_joint_auto_ASC_sr3p_shopping,-18.3791815788859,
coef_joint_auto_ASC_sr3p_work_univ_school_escort_atwork,0.666218421114124,
coef_joint_auto_ASC_walk_eatout_othmaint_social_othdiscr,-2.30658818408352,
coef_joint_auto_ASC_walk_shopping,-25.0609881840835,
coef_joint_auto_ASC_walk_work_univ_school_escort_atwork,-1.59218818408352,
coef_joint_bike_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-14.3057,
coef_joint_bike_ASC_rh_work_univ_school_escort_atwork,-2,
coef_joint_bike_ASC_walk_othmaint,-15.1113881840835,
coef_joint_bike_ASC_walk_othdiscr,-16.0361881840835,
coef_joint_bike_ASC_walk_eatout,-17.1509881840835,
coef_joint_bike_ASC_walk_social,-27.7635881840835,
coef_joint_bike_ASC_walk_shopping,-8.63978818408352,
coef_joint_bike_ASC_walk_work_univ_school_escort_atwork,-1.59218818408352,
coef_joint_drive_transit_ASC_commuter_work_univ_school_escort_atwork,-2.07427333882645,
coef_joint_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-1.56137333882645,
coef_joint_drive_transit_ASC_express_work_univ_school_escort_atwork,-2.6286559564691,
coef_joint_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,-1.9638559564691,
coef_joint_drive_transit_ASC_ferry_work_univ_school_escort_atwork,0,
coef_joint_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,
coef_joint_drive_transit_ASC_heavyrail_work_univ_school_escort_atwork,-2.07427333882645,
coef_joint_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-1.53397333882645,
coef_joint_drive_transit_ASC_lightrail_work_univ_school_escort_atwork,-1.93190351599533,
coef_joint_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.39270351599534,
coef_joint_drive_transit_ASC_rh_work_univ_school_escort_atwork,-2,
coef_joint_drive_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,2.6138,
coef_joint_ride_hail_ASC_sr2_shopping_eatout_othmaint_social_othdiscr,-6.76276353250636,
coef_joint_ride_hail_ASC_sr2_work_univ_school_escort_atwork,0.237236467493636,
coef_joint_ride_hail_ASC_sr3p_shopping_eatout_othmaint_social_othdiscr,-6.33378157888588,
coef_joint_ride_hail_ASC_sr3p_work_univ_school_escort_atwork,0.666218421114124,
coef_joint_ride_hail_ASC_taxi_shopping_eatout_othmaint_social_othdiscr,-9,
coef_joint_ride_hail_ASC_taxi_work_univ_school_escort_atwork,-2,
coef_joint_ride_hail_ASC_tnc_shared,-2,
coef_joint_ride_hail_ASC_tnc_single_shopping_eatout_othmaint_social_othdiscr,-6.7339,
coef_joint_ride_hail_ASC_tnc_single_work_univ_school_escort_atwork,-2,
coef_joint_ride_hail_ASC_walk_shopping_eatout_othmaint_social_othdiscr,-8.59218818408352,
coef_joint_ride_hail_ASC_walk_work_univ_school_escort_atwork,-1.59218818408352,
coef_joint_ride_hail_ASC_walk_transit,-1.59218818408352,
coef_joint_walk_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-5.0362,
coef_joint_walk_ASC_rh_work_univ_school_escort_atwork,-2,
coef_joint_walk_transit_ASC_commuter_work_univ_school_escort_atwork,-2.07427333882645,
coef_joint_walk_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-1.56137333882645,
coef_joint_walk_transit_ASC_express_work_univ_school_escort_atwork,-2.6286559564691,
coef_joint_walk_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,-1.9638559564691,
coef_joint_walk_transit_ASC_ferry_work_univ_school_escort_atwork,0,
coef_joint_walk_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,
coef_joint_walk_transit_ASC_heavyrail_work_univ_school_escort_atwork,-2.07427333882645,
coef_joint_walk_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-1.53397333882645,
coef_joint_walk_transit_ASC_lightrail_work_univ_school_escort_atwork,-1.93190351599533,
coef_joint_walk_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.39270351599534,
coef_joint_walk_transit_ASC_rh_work_univ_school_escort_atwork,-2,
coef_joint_walk_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-0.7734,
coef_joint_walk_transit_ASC_sr2_eatout,-14.6761635325064,
coef_joint_walk_transit_ASC_sr2_othdiscr,-14.7428635325064,
coef_joint_walk_transit_ASC_sr2_social,-20.2649635325064,
coef_joint_walk_transit_ASC_sr2_shopping,-21.3395635325064,
coef_joint_walk_transit_ASC_sr2_othmaint,-5.08576353250636,
coef_joint_walk_transit_ASC_sr2_work_univ_school_escort_atwork,0.237236467493636,
coef_joint_walk_transit_ASC_sr3p_othdiscr,-16.0691815788859,
coef_joint_walk_transit_ASC_sr3p_eatout,-16.0924815788859,
coef_joint_walk_transit_ASC_sr3p_shopping,-24.9290815788859,
coef_joint_walk_transit_ASC_sr3p_othmaint,-3.29008157888588,
coef_joint_walk_transit_ASC_sr3p_social,-34.0715815788859,
coef_joint_walk_transit_ASC_sr3p_work_univ_school_escort_atwork,0.666218421114124,
coef_joint_walk_transit_ASC_walk_othdiscr,-1.59458818408352,
coef_joint_walk_transit_ASC_walk_shopping,-2.13938818408352,
coef_joint_walk_transit_ASC_walk_social,-3.72228818408352,
coef_joint_walk_transit_ASC_walk_work_univ_school_escort_atwork,-1.59218818408352,
