coefficient_name,value,constrain
coef_one,1,T
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_othmaint_social,-0.0175,F
coef_ivt_work,-0.022,F
coef_ivt_univ_school,-0.0271,F
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.0279,F
coef_age1619_da,0,F
coef_age010_trn,0,F
coef_age16p_sr,0,F
coef_hhsize1_sr,-0.7346,F
coef_hhsize2_sr,0,F
coef_walktimeshort_atwork,1.34767,F
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_biketimeshort_atwork,2.69535,F
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4,T
coef_dtim_atwork,1.34767,F
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_ivt_ferry_atwork,0.539,F
coef_ivt_ferry_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.8,T
coef_ivt_lrt_atwork,0.60645,F
coef_ivt_lrt_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.9,T
coef_long_iwait_atwork,0.6738,F
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1,T
coef_short_iwait_atwork,1.34767,F
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_wacc_atwork,1.34767,F
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_waux_atwork,1.34767,F
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_wegr_atwork,1.34767,F
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_xwait_atwork,1.34767,F
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,T
coef_bike_ASC_rh,-13.150309703242684,T
coef_bike_ASC_walk_univ,-0.9242129773883272,F
coef_bike_ASC_walk_othmaint,-1.154912977388327,F
coef_bike_ASC_walk_shopping,-1.608812977388327,F
coef_bike_ASC_walk_othdiscr,-1.9420129773883272,F
coef_bike_ASC_walk_work,-2.4176129773883273,F
coef_bike_ASC_walk_social,-13.822712977388328,F
coef_bike_ASC_walk_escort,-14.104612977388328,F
coef_bike_ASC_walk_school,-2.6175129773883272,F
coef_bike_ASC_walk_eatout,-3.283312977388327,F
coef_bike_ASC_walk_atwork,-5.637512977388328,F
coef_drive_transit_ASC_commuter_work,-1.6730733388264516,NA
coef_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr_atwork,-1.5613733388264515,NA
coef_drive_transit_ASC_commuter_escort,-1.5300733388264516,NA
coef_drive_transit_ASC_commuter_univ_school,-1.1660733388264517,NA
coef_drive_transit_ASC_express_work,-2.9840559564691014,NA
coef_drive_transit_ASC_express_univ_school,-2.3062559564691014,NA
coef_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr_atwork,-1.9638559564691014,NA
