coefficient_name,value,constrain
coef_one,1,TRUE
coef_nest_root,1,TRUE
coef_nest_AUTO,0.72,TRUE
coef_nest_AUTO_DRIVEALONE,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE2,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE3,0.35,TRUE
coef_nest_NONMOTORIZED,0.72,TRUE
coef_nest_TRANSIT,0.72,TRUE
coef_nest_TRANSIT_WALKACCESS,0.5,TRUE
coef_nest_TRANSIT_DRIVEACCESS,0.5,TRUE
coef_nest_RIDEHAIL,0.36,TRUE
coef_ivt_othmaint_social,-0.0175,FALSE
coef_ivt_work,-0.022,FALSE
coef_ivt_univ_school,-0.0271,FALSE
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.0279,FALSE
coef_age1619_da,0,FALSE
coef_age010_trn,0,FALSE
coef_age16p_sr,0,FALSE
coef_hhsize1_sr,-0.7346,FALSE
coef_hhsize2_sr,0,FALSE
coef_walktimeshort_atwork,1.34767,FALSE
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_biketimeshort_atwork,2.69535,FALSE
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4,TRUE
coef_dtim_atwork,1.34767,FALSE
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_ivt_ferry_atwork,0.539,FALSE
coef_ivt_ferry_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.8,TRUE
coef_ivt_lrt_atwork,0.60645,FALSE
coef_ivt_lrt_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.9,TRUE
coef_long_iwait_atwork,0.6738,FALSE
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1,TRUE
coef_short_iwait_atwork,1.34767,FALSE
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wacc_atwork,1.34767,FALSE
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_waux_atwork,1.34767,FALSE
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wegr_atwork,1.34767,FALSE
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_xwait_atwork,1.34767,FALSE
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_bike_ASC_rh,-26.879612829848035,TRUE
coef_bike_ASC_walk_univ,-2.1172063378902553,FALSE
coef_bike_ASC_walk_othmaint,-2.347906337890256,FALSE
coef_bike_ASC_walk_shopping,-2.801806337890256,FALSE
coef_bike_ASC_walk_othdiscr,-3.1350063378902564,FALSE
coef_bike_ASC_walk_work,-3.6106063378902564,FALSE
coef_bike_ASC_walk_social,-15.015706337890254,FALSE
coef_bike_ASC_walk_escort,-15.297606337890254,FALSE
coef_bike_ASC_walk_school,-3.8105063378902564,FALSE
coef_bike_ASC_walk_eatout,-4.476306337890255,FALSE
coef_bike_ASC_walk_atwork,-6.830506337890255,FALSE
coef_drive_transit_ASC_commuter_work,-0.9212094728972777,NA
coef_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr_atwork,-0.8095094728972777,NA
coef_drive_transit_ASC_commuter_escort,-0.7782094728972777,NA
coef_drive_transit_ASC_commuter_univ_school,-0.41420947289727783,NA
coef_drive_transit_ASC_express_work,-0.8004987999319912,NA
coef_drive_transit_ASC_express_univ_school,-0.12269879993199112,NA
coef_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr_atwork,0.21970120006800858,NA
coef_drive_transit_ASC_express_escort,0.30960120006800884,NA
coef_drive_transit_ASC_ferry_work,0.5277,NA
coef_drive_transit_ASC_ferry_escort,0.6005,NA
coef_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr_atwork,0.6466,NA
coef_drive_transit_ASC_ferry_univ_school,1.7237,NA
coef_drive_transit_ASC_heavyrail_work,-0.9686094728972778,NA
coef_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr_atwork,-0.7821094728972777,NA
coef_drive_transit_ASC_heavyrail_escort,-0.7551094728972778,NA
coef_drive_transit_ASC_heavyrail_univ_school,-0.47340947289727775,NA
coef_drive_transit_ASC_lightrail_work,-1.141593035937165,NA
coef_drive_transit_ASC_lightrail_escort,-1.0784930359371652,NA
coef_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr_atwork,-1.0644930359371654,NA
coef_drive_transit_ASC_lightrail_univ_school,-0.1600930359371654,NA
coef_drive_transit_ASC_rh,-24.12961282984803,NA
coef_joint_auto_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-26.879612829848035,NA
coef_joint_auto_ASC_rh_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_auto_ASC_sr2_eatout_othmaint_social_othdiscr,0.07338339777680358,NA
coef_joint_auto_ASC_sr2_work_univ_school_escort_atwork,0.13678339777680354,NA
coef_joint_auto_ASC_sr2_shopping,0.7242833977768036,NA
coef_joint_auto_ASC_sr3p_eatout_othmaint_social_othdiscr,0.42752235094534813,NA
coef_joint_auto_ASC_sr3p_shopping,-18.455377649054654,NA
coef_joint_auto_ASC_sr3p_work_univ_school_escort_atwork,0.590022350945348,NA
coef_joint_auto_ASC_walk_eatout_othmaint_social_othdiscr,-2.4917063378902564,NA
coef_joint_auto_ASC_walk_shopping,-25.246106337890257,NA
coef_joint_auto_ASC_walk_work_univ_school_escort_atwork,-1.777306337890256,NA
coef_joint_bike_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-32.18531282984804,NA
coef_joint_bike_ASC_rh_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_bike_ASC_walk_othmaint,-15.296506337890257,NA
coef_joint_bike_ASC_walk_othdiscr,-16.221306337890258,NA
coef_joint_bike_ASC_walk_eatout,-17.336106337890257,NA
coef_joint_bike_ASC_walk_social,-27.948706337890254,NA
coef_joint_bike_ASC_walk_shopping,-8.824906337890255,NA
coef_joint_bike_ASC_walk_work_univ_school_escort_atwork,-1.777306337890256,NA
coef_joint_drive_transit_ASC_commuter_work_univ_school_escort_atwork,-1.3224094728972777,NA
coef_joint_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-0.8095094728972777,NA
coef_joint_drive_transit_ASC_express_work_univ_school_escort_atwork,-0.44509879993199114,NA
coef_joint_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,0.21970120006800858,NA
coef_joint_drive_transit_ASC_ferry_work_univ_school_escort_atwork,0,NA
coef_joint_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,NA
coef_joint_drive_transit_ASC_heavyrail_work_univ_school_escort_atwork,-1.3224094728972777,NA
coef_joint_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-0.7821094728972777,NA
coef_joint_drive_transit_ASC_lightrail_work_univ_school_escort_atwork,-1.6036930359371655,NA
coef_joint_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.0644930359371654,NA
coef_joint_drive_transit_ASC_rh_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_drive_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-15.265812829848034,NA
coef_joint_ride_hail_ASC_sr2_shopping_eatout_othmaint_social_othdiscr,-6.863216602223196,NA
coef_joint_ride_hail_ASC_sr2_work_univ_school_escort_atwork,0.13678339777680354,NA
coef_joint_ride_hail_ASC_sr3p_shopping_eatout_othmaint_social_othdiscr,-6.4099776490546505,NA
coef_joint_ride_hail_ASC_sr3p_work_univ_school_escort_atwork,0.590022350945348,NA
coef_joint_ride_hail_ASC_taxi_shopping_eatout_othmaint_social_othdiscr,-26.879612829848035,NA
coef_joint_ride_hail_ASC_taxi_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_ride_hail_ASC_tnc_shared,-19.879612829848035,NA
coef_joint_ride_hail_ASC_tnc_single_shopping_eatout_othmaint_social_othdiscr,-24.613512829848034,NA
coef_joint_ride_hail_ASC_tnc_single_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_ride_hail_ASC_walk_shopping_eatout_othmaint_social_othdiscr,-8.777306337890256,NA
coef_joint_ride_hail_ASC_walk_work_univ_school_escort_atwork,-1.777306337890256,NA
coef_joint_ride_hail_ASC_walk_transit,-1.777306337890256,NA
coef_joint_walk_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-22.91581282984803,NA
coef_joint_walk_ASC_rh_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_walk_transit_ASC_commuter_work_univ_school_escort_atwork,-1.3224094728972777,NA
coef_joint_walk_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-0.8095094728972777,NA
coef_joint_walk_transit_ASC_express_work_univ_school_escort_atwork,-0.44509879993199114,NA
coef_joint_walk_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,0.21970120006800858,NA
coef_joint_walk_transit_ASC_ferry_work_univ_school_escort_atwork,0,NA
coef_joint_walk_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,NA
coef_joint_walk_transit_ASC_heavyrail_work_univ_school_escort_atwork,-1.3224094728972777,NA
coef_joint_walk_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-0.7821094728972777,NA
coef_joint_walk_transit_ASC_lightrail_work_univ_school_escort_atwork,-1.6036930359371655,NA
coef_joint_walk_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.0644930359371654,NA
coef_joint_walk_transit_ASC_rh_work_univ_school_escort_atwork,-19.879612829848035,NA
coef_joint_walk_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-18.653012829848038,NA
coef_joint_walk_transit_ASC_sr2_eatout,-14.776616602223196,NA
coef_joint_walk_transit_ASC_sr2_othdiscr,-14.843316602223199,NA
coef_joint_walk_transit_ASC_sr2_social,-20.365416602223195,NA
coef_joint_walk_transit_ASC_sr2_shopping,-21.440016602223196,NA
coef_joint_walk_transit_ASC_sr2_othmaint,-5.186216602223197,NA
coef_joint_walk_transit_ASC_sr2_work_univ_school_escort_atwork,0.13678339777680354,NA
coef_joint_walk_transit_ASC_sr3p_othdiscr,-16.145377649054648,NA
coef_joint_walk_transit_ASC_sr3p_eatout,-16.168677649054654,NA
