coefficient_name,value,constrain
coef_one,1,TRUE
coef_nest_root,1,TRUE
coef_nest_AUTO,0.72,TRUE
coef_nest_AUTO_DRIVEALONE,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE2,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE3,0.35,TRUE
coef_nest_NONMOTORIZED,0.72,TRUE
coef_nest_TRANSIT,0.72,TRUE
coef_nest_TRANSIT_WALKACCESS,0.5,TRUE
coef_nest_TRANSIT_DRIVEACCESS,0.5,TRUE
coef_nest_RIDEHAIL,0.36,TRUE
coef_ivt_othmaint_social,-0.0175,FALSE
coef_ivt_work,-0.022,FALSE
coef_ivt_univ_school,-0.0271,FALSE
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.0279,FALSE
coef_age1619_da,0,FALSE
coef_age010_trn,0,FALSE
coef_age16p_sr,0,FALSE
coef_hhsize1_sr,-0.7346,FALSE
coef_hhsize2_sr,0,FALSE
coef_walktimeshort_atwork,1.34767,FALSE
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_biketimeshort_atwork,2.69535,FALSE
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4,TRUE
coef_dtim_atwork,1.34767,FALSE
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_ivt_ferry_atwork,0.539,FALSE
coef_ivt_ferry_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.8,TRUE
coef_ivt_lrt_atwork,0.60645,FALSE
coef_ivt_lrt_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,0.9,TRUE
coef_long_iwait_atwork,0.6738,FALSE
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1,TRUE
coef_short_iwait_atwork,1.34767,FALSE
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wacc_atwork,1.34767,FALSE
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_waux_atwork,1.34767,FALSE
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_wegr_atwork,1.34767,FALSE
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_xwait_atwork,1.34767,FALSE
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2,TRUE
coef_bike_ASC_rh,-16.52849019646836,TRUE
coef_bike_ASC_walk_univ,-1.3572433364628553,FALSE
coef_bike_ASC_walk_othmaint,-1.5879433364628555,FALSE
coef_bike_ASC_walk_shopping,-2.0418433364628554,FALSE
coef_bike_ASC_walk_othdiscr,-2.3750433364628556,FALSE
coef_bike_ASC_walk_work,-2.8506433364628556,FALSE
coef_bike_ASC_walk_social,-14.255743336462857,FALSE
coef_bike_ASC_walk_escort,-14.537643336462857,FALSE
coef_bike_ASC_walk_school,-3.0505433364628556,FALSE
coef_bike_ASC_walk_eatout,-3.7163433364628555,FALSE
coef_bike_ASC_walk_atwork,-6.070543336462856,FALSE
coef_drive_transit_ASC_commuter_work,-1.3422752313764703,NA
coef_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr_atwork,-1.2305752313764704,NA
coef_drive_transit_ASC_commuter_escort,-1.1992752313764703,NA
coef_drive_transit_ASC_commuter_univ_school,-0.8352752313764704,NA
coef_drive_transit_ASC_express_work,-1.5788086967502672,NA
coef_drive_transit_ASC_express_univ_school,-0.9010086967502673,NA
coef_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr_atwork,-0.5586086967502675,NA
coef_drive_transit_ASC_express_escort,-0.46870869675026716,NA
coef_drive_transit_ASC_ferry_work,0.5277,NA
coef_drive_transit_ASC_ferry_escort,0.6005,NA
coef_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr_atwork,0.6466,NA
coef_drive_transit_ASC_ferry_univ_school,1.7237,NA
coef_drive_transit_ASC_heavyrail_work,-1.3896752313764704,NA
coef_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr_atwork,-1.2031752313764703,NA
coef_drive_transit_ASC_heavyrail_escort,-1.1761752313764704,NA
coef_drive_transit_ASC_heavyrail_univ_school,-0.8944752313764703,NA
coef_drive_transit_ASC_lightrail_work,-1.5719615043109305,NA
coef_drive_transit_ASC_lightrail_escort,-1.5088615043109304,NA
coef_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr_atwork,-1.4948615043109306,NA
coef_drive_transit_ASC_lightrail_univ_school,-0.5904615043109306,NA
coef_drive_transit_ASC_rh,-13.778490196468361,NA
coef_joint_auto_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-16.52849019646836,NA
coef_joint_auto_ASC_rh_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_auto_ASC_sr2_eatout_othmaint_social_othdiscr,0.44150762901648793,NA
coef_joint_auto_ASC_sr2_work_univ_school_escort_atwork,0.5049076290164879,NA
coef_joint_auto_ASC_sr2_shopping,1.092407629016488,NA
coef_joint_auto_ASC_sr3p_eatout_othmaint_social_othdiscr,0.7272338076494913,NA
coef_joint_auto_ASC_sr3p_shopping,-18.15566619235051,NA
coef_joint_auto_ASC_sr3p_work_univ_school_escort_atwork,0.8897338076494913,NA
coef_joint_auto_ASC_walk_eatout_othmaint_social_othdiscr,-1.7317433364628556,NA
coef_joint_auto_ASC_walk_shopping,-24.486143336462856,NA
coef_joint_auto_ASC_walk_work_univ_school_escort_atwork,-1.0173433364628555,NA
coef_joint_bike_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-21.834190196468363,NA
coef_joint_bike_ASC_rh_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_bike_ASC_walk_othmaint,-14.536543336462858,NA
coef_joint_bike_ASC_walk_othdiscr,-15.461343336462857,NA
coef_joint_bike_ASC_walk_eatout,-16.576143336462856,NA
coef_joint_bike_ASC_walk_social,-27.188743336462853,NA
coef_joint_bike_ASC_walk_shopping,-8.064943336462855,NA
coef_joint_bike_ASC_walk_work_univ_school_escort_atwork,-1.0173433364628555,NA
coef_joint_drive_transit_ASC_commuter_work_univ_school_escort_atwork,-1.7434752313764703,NA
coef_joint_drive_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-1.2305752313764704,NA
coef_joint_drive_transit_ASC_express_work_univ_school_escort_atwork,-1.2234086967502673,NA
coef_joint_drive_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,-0.5586086967502675,NA
coef_joint_drive_transit_ASC_ferry_work_univ_school_escort_atwork,0,NA
coef_joint_drive_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,NA
coef_joint_drive_transit_ASC_heavyrail_work_univ_school_escort_atwork,-1.7434752313764703,NA
coef_joint_drive_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-1.2031752313764703,NA
coef_joint_drive_transit_ASC_lightrail_work_univ_school_escort_atwork,-2.0340615043109307,NA
coef_joint_drive_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.4948615043109306,NA
coef_joint_drive_transit_ASC_rh_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_drive_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-4.914690196468363,NA
coef_joint_ride_hail_ASC_sr2_shopping_eatout_othmaint_social_othdiscr,-6.495092370983512,NA
coef_joint_ride_hail_ASC_sr2_work_univ_school_escort_atwork,0.5049076290164879,NA
coef_joint_ride_hail_ASC_sr3p_shopping_eatout_othmaint_social_othdiscr,-6.110266192350508,NA
coef_joint_ride_hail_ASC_sr3p_work_univ_school_escort_atwork,0.8897338076494913,NA
coef_joint_ride_hail_ASC_taxi_shopping_eatout_othmaint_social_othdiscr,-16.52849019646836,NA
coef_joint_ride_hail_ASC_taxi_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_ride_hail_ASC_tnc_shared,-9.528490196468363,NA
coef_joint_ride_hail_ASC_tnc_single_shopping_eatout_othmaint_social_othdiscr,-14.262390196468363,NA
coef_joint_ride_hail_ASC_tnc_single_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_ride_hail_ASC_walk_shopping_eatout_othmaint_social_othdiscr,-8.017343336462856,NA
coef_joint_ride_hail_ASC_walk_work_univ_school_escort_atwork,-1.0173433364628555,NA
coef_joint_ride_hail_ASC_walk_transit,-1.0173433364628555,NA
coef_joint_walk_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-12.564690196468362,NA
coef_joint_walk_ASC_rh_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_walk_transit_ASC_commuter_work_univ_school_escort_atwork,-1.7434752313764703,NA
coef_joint_walk_transit_ASC_commuter_shopping_eatout_othmaint_social_othdiscr,-1.2305752313764704,NA
coef_joint_walk_transit_ASC_express_work_univ_school_escort_atwork,-1.2234086967502673,NA
coef_joint_walk_transit_ASC_express_shopping_eatout_othmaint_social_othdiscr,-0.5586086967502675,NA
coef_joint_walk_transit_ASC_ferry_work_univ_school_escort_atwork,0,NA
coef_joint_walk_transit_ASC_ferry_shopping_eatout_othmaint_social_othdiscr,0.6466,NA
coef_joint_walk_transit_ASC_heavyrail_work_univ_school_escort_atwork,-1.7434752313764703,NA
coef_joint_walk_transit_ASC_heavyrail_shopping_eatout_othmaint_social_othdiscr,-1.2031752313764703,NA
coef_joint_walk_transit_ASC_lightrail_work_univ_school_escort_atwork,-2.0340615043109307,NA
coef_joint_walk_transit_ASC_lightrail_shopping_eatout_othmaint_social_othdiscr,-1.4948615043109306,NA
coef_joint_walk_transit_ASC_rh_work_univ_school_escort_atwork,-9.528490196468363,NA
coef_joint_walk_transit_ASC_rh_shopping_eatout_othmaint_social_othdiscr,-8.301890196468364,NA
coef_joint_walk_transit_ASC_sr2_eatout,-14.408492370983511,NA
coef_joint_walk_transit_ASC_sr2_othdiscr,-14.475192370983514,NA
coef_joint_walk_transit_ASC_sr2_social,-19.997292370983512,NA
coef_joint_walk_transit_ASC_sr2_shopping,-21.071892370983512,NA
coef_joint_walk_transit_ASC_sr2_othmaint,-4.818092370983512,NA
coef_joint_walk_transit_ASC_sr2_work_univ_school_escort_atwork,0.5049076290164879,NA
coef_joint_walk_transit_ASC_sr3p_othdiscr,-15.845666192350505,NA
coef_joint_walk_transit_ASC_sr3p_eatout,-15.86896619235051,NA
