mode,auto_own,purpose,share
bike,auto_deficient,atwork,0
drive_transit,auto_deficient,atwork,0
sr2,auto_deficient,atwork,0.24614760746147607
sr3p,auto_deficient,atwork,0.1321978913219789
taxi,auto_deficient,atwork,4.0551500405515005e-4
tnc_shared,auto_deficient,atwork,0.0036496350364963502
tnc_single,auto_deficient,atwork,0.006488240064882401
walk,auto_deficient,atwork,0.15896188158961883
walk_transit,auto_deficient,atwork,0.049067315490673155
bike,auto_sufficient,atwork,0.010404461733139617
drive_transit,auto_sufficient,atwork,0
sr2,auto_sufficient,atwork,0.18521816562778273
sr3p,auto_sufficient,atwork,0.11205886488259831
taxi,auto_sufficient,atwork,0.003093218353095562
tnc_shared,auto_sufficient,atwork,0.003186952242583306
tnc_single,auto_sufficient,atwork,0.009373388948774429
walk,auto_sufficient,atwork,0.10474762150255425
walk_transit,auto_sufficient,atwork,0.0089047195013357075
bike,no_auto,atwork,3.4940600978336826e-4
sr2,no_auto,atwork,0.3775331935709294
sr3p,no_auto,atwork,0.002620545073375262
taxi,no_auto,atwork,0.02078965758211041
tnc_shared,no_auto,atwork,0.040880503144654086
tnc_single,no_auto,atwork,0.17365478686233404
walk,no_auto,atwork,0.3722921034241789
walk_transit,no_auto,atwork,8.735150244584207e-4
bike,auto_deficient,eatout,0
drive_transit,auto_deficient,eatout,0
sr2,auto_deficient,eatout,0.31786542923433875
sr3p,auto_deficient,eatout,0.388631090487239
taxi,auto_deficient,eatout,0
tnc_shared,auto_deficient,eatout,0.001160092807424594
tnc_single,auto_deficient,eatout,0
walk,auto_deficient,eatout,0.058004640371229696
walk_transit,auto_deficient,eatout,0.008120649651972157
bike,auto_sufficient,eatout,0.01003370698440072
drive_transit,auto_sufficient,eatout,7.838833581563063e-5
sr2,auto_sufficient,eatout,0.24323900603590184
sr3p,auto_sufficient,eatout,0.4885161088030101
taxi,auto_sufficient,eatout,0
tnc_shared,auto_sufficient,eatout,3.135533432625225e-4
tnc_single,auto_sufficient,eatout,0.0041545817982284235
walk,auto_sufficient,eatout,0.013796347103550991
walk_transit,auto_sufficient,eatout,0.008073998589009956
bike,no_auto,eatout,2.11954217888936e-4
sr2,no_auto,eatout,0.39550657058075456
sr3p,no_auto,eatout,0.056591776176345907
taxi,no_auto,eatout,0.0023314963967782957
tnc_shared,no_auto,eatout,0.009325985587113183
tnc_single,no_auto,eatout,0.037727850784230604
walk,no_auto,eatout,0.08287409919457397
walk_transit,no_auto,eatout,0.4124629080118694
bike,auto_deficient,escort,0.0016816143497757848
drive_transit,auto_deficient,escort,0
sr2,auto_deficient,escort,0.3245515695067265
sr3p,auto_deficient,escort,0.4669282511210762
taxi,auto_deficient,escort,0.008968609865470852
tnc_shared,auto_deficient,escort,0.026345291479820628
tnc_single,auto_deficient,escort,0.12780269058295965
walk,auto_deficient,escort,0.01569506726457399
walk_transit,auto_deficient,escort,0.028026905829596414
bike,auto_sufficient,escort,0.0058594378803000545
drive_transit,auto_sufficient,escort,6.116995589324233e-4
sr2,auto_sufficient,escort,0.3608383503428737
sr3p,auto_sufficient,escort,0.5484047519397315
taxi,auto_sufficient,escort,0.004636038762435208
tnc_shared,auto_sufficient,escort,0.0086281832523099709
tnc_single,auto_sufficient,escort,0.0408872863075883
walk,auto_sufficient,escort,0.026946975306654648
walk_transit,auto_sufficient,escort,0.0031872766491742054
bike,no_auto,escort,0.06661442006269593
sr2,no_auto,escort,0.2907523510971787
sr3p,no_auto,escort,0.33620689655172414
taxi,no_auto,escort,0.01567398119122257
tnc_shared,no_auto,escort,0.014890282131661442
tnc_single,no_auto,escort,0.050940438871473356
walk,no_auto,escort,0.17946708463949843
walk_transit,no_auto,escort,0.045454545454545456
bike,auto_deficient,othdiscr,0.07322526551145891
drive_transit,auto_deficient,othdiscr,0
sr2,auto_deficient,othdiscr,0.1369480156512018
sr3p,auto_deficient,othdiscr,0.045835662381218556
taxi,auto_deficient,othdiscr,0
tnc_shared,auto_deficient,othdiscr,0.0016769144773616546
tnc_single,auto_deficient,othdiscr,0.003912800447177194
walk,auto_deficient,othdiscr,0.4494130799329234
