mode,auto_own,purpose,n,share,share_at_1
taxi,auto_deficient,atwork,1,4.055150040551501e-4,0.004455614990912544
tnc_shared,auto_deficient,atwork,9,0.00364963503649635,0.04010053491821288
tnc_single,auto_deficient,atwork,16,0.0064882400648824,0.07128983985460068
taxi,auto_sufficient,atwork,66,0.00309321835309556,0.03398688069836254
tnc_shared,auto_sufficient,atwork,68,0.0031869522425833,0.03501678617407045
tnc_single,auto_sufficient,atwork,200,0.00937338894877442,0.10299054757079551
taxi,no_auto,atwork,119,0.02078965758211041,0.22842733080769553
tnc_shared,no_auto,atwork,234,0.04088050314465408,0.4491764320084096
tnc_single,no_auto,atwork,994,0.17365478686233404,1.9080400573348688
taxi,auto_deficient,eatout,0,0,0
tnc_shared,auto_deficient,eatout,1,0.00116009280742459,0.012746573744304284
tnc_single,auto_deficient,eatout,0,0,0
taxi,auto_sufficient,eatout,0,0,0
tnc_shared,auto_sufficient,eatout,4,3.135533432625225e-4,0.003445181960520602
tnc_single,auto_sufficient,eatout,53,0.00415458179822842,0.04564866097689794
taxi,no_auto,eatout,11,0.00233149639677829,0.025617425231770526
tnc_shared,no_auto,eatout,44,0.00932598558711318,0.10246970092708231
tnc_single,no_auto,eatout,178,0.0377278507842306,0.41453651738683306
taxi,auto_deficient,escort,16,0.00896860986547085,0.09854301854341102
tnc_shared,auto_deficient,escort,47,0.02634529147982062,0.28947011697126984
tnc_single,auto_deficient,escort,228,0.12780269058295965,1.4042380142436073
taxi,auto_sufficient,escort,144,0.0046360387624352,0.05093869179141061
tnc_shared,auto_sufficient,escort,268,0.0086281832523099709,0.0948025652784588
tnc_single,auto_sufficient,escort,1270,0.0408872863075883,0.44925096232702494
taxi,no_auto,escort,20,0.01567398119122257,0.17221859823809293
tnc_shared,no_auto,escort,19,0.01489028213166144,0.16360766832618828
tnc_single,no_auto,escort,65,0.05094043887147335,0.559710444273802
taxi,auto_deficient,othdiscr,0,0,0
tnc_shared,auto_deficient,othdiscr,3,0.00167691447736165,0.018425175909877533
tnc_single,auto_deficient,othdiscr,7,0.00391280044717719,0.04299207712304765
taxi,auto_sufficient,othdiscr,8,2.744142969848729e-4,0.0030151398669338537
tnc_shared,auto_sufficient,othdiscr,23,7.889411038315096e-4,0.00866852711743483
tnc_single,auto_sufficient,othdiscr,130,0.00445923232600418,0.048996022837675075
taxi,no_auto,othdiscr,25,0.00270679948029449,0.029741085338865016
tnc_shared,no_auto,othdiscr,139,0.01504980511043741,0.16536043448409
tnc_single,no_auto,othdiscr,565,0.06117366825465569,0.6721485286583517
taxi,auto_deficient,othmaint,2,0.00195694716242661,0.021502048077476136
tnc_shared,auto_deficient,othmaint,12,0.01174168297455968,0.12901228846485702
tnc_single,auto_deficient,othmaint,45,0.04403131115459882,0.48379608174321415
taxi,auto_sufficient,othmaint,24,0.00115930827939329,0.012737953706026794
tnc_shared,auto_sufficient,othmaint,43,0.00207709400057965,0.022822167056631402
tnc_single,auto_sufficient,othmaint,163,0.00787363539754613,0.0865119355867657
