primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
atwork,auto_deficient,bike,0,0
atwork,auto_deficient,car,4338.37799057,0.44911480944590776
atwork,auto_deficient,drive_transit,0,0
atwork,auto_deficient,hov2,2014.63380226,0.20855764024526746
atwork,auto_deficient,hov3,1245.43944592,0.12892959088548386
atwork,auto_deficient,walk,1598.10392877,0.16543789937261677
atwork,auto_deficient,walk_transit,463.28659081,0.047960060050724194
atwork,auto_sufficient,bike,2550.32252492,0.010199549350552884
atwork,auto_sufficient,car,150858.76320451,0.6033320826023909
atwork,auto_sufficient,drive_transit,0,0
atwork,auto_sufficient,hov2,41967.43792281,0.16784110638061064
atwork,auto_sufficient,hov3,25512.45139827,0.10203239180440499
atwork,auto_sufficient,walk,27446.9604172,0.10976910746090224
atwork,auto_sufficient,walk_transit,1706.73183717,0.006825762401138369
atwork,no_auto,bike,0,0
atwork,no_auto,car,0,0
atwork,no_auto,drive_transit,0,0
atwork,no_auto,hov2,678.1589524,0.6204196836347944
atwork,no_auto,hov3,0,0
atwork,no_auto,walk,414.905904,0.37958031636520556
atwork,no_auto,walk_transit,0,0
eatout,auto_deficient,bike,0,0
eatout,auto_deficient,car,3692.58762616,0.22310728514536973
eatout,auto_deficient,drive_transit,0,0
eatout,auto_deficient,hov2,5538.02383437,0.3346091109668643
eatout,auto_deficient,hov3,6195.19148324,0.3743153833342511
eatout,auto_deficient,walk,1124.9234198,0.06796822055351494
eatout,auto_deficient,walk_transit,0,0
eatout,auto_sufficient,bike,2778.14486077,0.006210625633080994
eatout,auto_sufficient,car,116361.70839795,0.2601300670423298
eatout,auto_sufficient,drive_transit,0,0
eatout,auto_sufficient,hov2,110332.9302834,0.24665255389206012
eatout,auto_sufficient,hov3,202063.09892103,0.4517180797083801
eatout,auto_sufficient,walk,14015.4928021,0.03133205186170844
eatout,auto_sufficient,walk_transit,1769.88106232,0.003956621862440468
eatout,no_auto,bike,0,0
eatout,no_auto,car,477.49781069999995,0.08588188705758262
eatout,no_auto,drive_transit,0,0
eatout,no_auto,hov2,2057.19688039,0.37000368625326835
eatout,no_auto,hov3,188.76728754,0.03395134072952202
eatout,no_auto,walk,999.6813692,0.17980087137434905
eatout,no_auto,walk_transit,1836.792828,0.3303622145852779
escort,auto_deficient,bike,178.92407129999998,0.004195815065758865
escort,auto_deficient,car,13556.84898869,0.317911563366954
escort,auto_deficient,drive_transit,0,0
escort,auto_deficient,hov2,14471.2691349,0.33935494880986805
escort,auto_deficient,hov3,13136.88407293,0.30806327907611936
escort,auto_deficient,walk,911.55932734,0.021376298511413254
escort,auto_deficient,walk_transit,387.9742561,0.009098095169886558
escort,auto_sufficient,bike,4991.17358879,0.0055500933879595
escort,auto_sufficient,car,260985.05917552,0.2902105938650447
escort,auto_sufficient,drive_transit,169.87144,1.8889392227604743e-4
escort,auto_sufficient,hov2,288593.8986547,0.32091111644089443
escort,auto_sufficient,hov3,310831.45081829,0.34563886614383865
escort,auto_sufficient,walk,32656.5802589,0.036313517641495006
escort,auto_sufficient,walk_transit,1067.39046476,0.0011869185984917155
escort,no_auto,bike,146.0403116,0.03545196813076991
escort,no_auto,car,336.5277208,0.08169367691846416
escort,no_auto,drive_transit,0,0
escort,no_auto,hov2,1251.9064673,0.30390614546884015
escort,no_auto,hov3,805.1187135,0.19544633026165406
escort,no_auto,walk,1374.6732491,0.33370835547652394
escort,no_auto,walk_transit,205.11870304,0.04979352374374787
othdiscr,auto_deficient,bike,482.54887792,0.05014378026884682
othdiscr,auto_deficient,car,3465.89175615,0.3601560849237032
othdiscr,auto_deficient,drive_transit,0,0
othdiscr,auto_deficient,hov2,929.89042867,0.09662901202945616
othdiscr,auto_deficient,hov3,208.098335,0.021624414980574935
othdiscr,auto_deficient,walk,4536.87533383,0.4714467077974189
othdiscr,auto_deficient,walk_transit,0,0
othdiscr,auto_sufficient,bike,6137.02036957,0.022334696237958064
othdiscr,auto_sufficient,car,115974.91876743,0.4220720196296011
othdiscr,auto_sufficient,drive_transit,85.46580888,3.1103903280671783e-4
othdiscr,auto_sufficient,hov2,62780.78890018,0.22848055981980325
othdiscr,auto_sufficient,hov3,54409.85897674,0.19801590990658066
othdiscr,auto_sufficient,walk,34402.81370845,0.12520349414501417
othdiscr,auto_sufficient,walk_transit,984.32199986,0.0035822812282359884
othdiscr,no_auto,bike,0,0
othdiscr,no_auto,car,0,0
othdiscr,no_auto,drive_transit,0,0
othdiscr,no_auto,hov2,1682.638604,0.4083004479873543
othdiscr,no_auto,hov3,598.3703244,0.14519747195509994
othdiscr,no_auto,walk,1840.0705666,0.44650208005754566
othdiscr,no_auto,walk_transit,0,0
othmaint,auto_deficient,bike,541.956016,0.019596528966644884
othmaint,auto_deficient,car,7177.1372513,0.25951732961791957
othmaint,auto_deficient,drive_transit,0,0
othmaint,auto_deficient,hov2,5487.71050948,0.19842953078241385
othmaint,auto_deficient,hov3,8542.90945043,0.30890213884954054
othmaint,auto_deficient,walk,5906.001564040001,0.21355447178348116
othmaint,auto_deficient,walk_transit,0,0
othmaint,auto_sufficient,bike,10224.31400395,0.01533158113224561
othmaint,auto_sufficient,car,258990.63676334,0.3883620904537038
othmaint,auto_sufficient,drive_transit,338.2078752,5.071500617244302e-4
othmaint,auto_sufficient,hov2,153579.12939796,0.2302952434436975
othmaint,auto_sufficient,hov3,199257.41233559,0.2987908217846392
othmaint,auto_sufficient,walk,39046.09510765,0.058550468501753765
othmaint,auto_sufficient,walk_transit,5443.49868422,0.008162644622235654
othmaint,no_auto,bike,5309.8189188,0.24044384081644019
othmaint,no_auto,car,654.970777,0.029658956671162508
othmaint,no_auto,drive_transit,0,0
othmaint,no_auto,hov2,1307.2459058,0.05919584665481462
othmaint,no_auto,hov3,907.4193802,0.04109055399875487
othmaint,no_auto,walk,8307.14544344,0.37617138873973305
othmaint,no_auto,walk_transit,5596.8054161,0.25343941311909485
school,auto_deficient,bike,847.98796328,0.02862147488969377
school,auto_deficient,car,4223.15952916,0.14254100252966964
school,auto_deficient,drive_transit,98.60420155,0.0033281105403494475
school,auto_deficient,hov2,6522.64785705,0.22015383465204727
school,auto_deficient,hov3,11546.73969042,0.3897280791921601
school,auto_deficient,walk,5326.47795389,0.1797804469040931
school,auto_deficient,walk_transit,1062.06504493,0.03584705129198668
school,auto_sufficient,bike,21253.88617884,0.01921286487383177
school,auto_sufficient,car,161329.08043827,0.14583656826796787
school,auto_sufficient,drive_transit,404.8837174,3.660025317988907e-4
school,auto_sufficient,hov2,217547.53942264,0.19665634055775744
school,auto_sufficient,hov3,577960.03778788,0.5224582466969481
school,auto_sufficient,walk,116804.03779515,0.10558728770790084
school,auto_sufficient,walk_transit,10932.54734566,0.009882689363795102
school,no_auto,bike,0,0
school,no_auto,car,0,0
school,no_auto,drive_transit,0,0
school,no_auto,hov2,351.8102116,0.05902573118737043
school,no_auto,hov3,0,0
school,no_auto,walk,4630.0558435,0.7768177914962621
school,no_auto,walk_transit,978.4194767,0.16415647731636748
shopping,auto_deficient,bike,1124.1161797,0.022229260680076034
shopping,auto_deficient,car,20864.64734396,0.4125958625829242
shopping,auto_deficient,drive_transit,0,0
shopping,auto_deficient,hov2,16070.09997306,0.3177842716856623
shopping,auto_deficient,hov3,9312.23875271,0.1841483882958977
shopping,auto_deficient,walk,3070.88716147,0.06072641997701101
shopping,auto_deficient,walk_transit,127.2218588,0.0025157967784288668
shopping,auto_sufficient,bike,10382.9895356,0.006361571113618693
shopping,auto_sufficient,car,574607.44965397,0.352057193244351
shopping,auto_sufficient,drive_transit,249.31443462000001,1.5275287527246042e-4
shopping,auto_sufficient,hov2,402260.92011068,0.2464619116430518
shopping,auto_sufficient,hov3,594094.37349566,0.363996668997412
shopping,auto_sufficient,walk,44689.306988950004,0.02738076576633224
shopping,auto_sufficient,walk_transit,5857.98140141,0.0035891363599618543
shopping,no_auto,bike,2313.8732225,0.06928218908850743
shopping,no_auto,car,1504.5232516,0.04504856333173943
shopping,no_auto,drive_transit,0,0
shopping,no_auto,hov2,8042.10742401,0.24079746539369887
shopping,no_auto,hov3,1161.40173406,0.03477478963170176
shopping,no_auto,walk,14532.8774306,0.43514465371575956
shopping,no_auto,walk_transit,5843.02455477,0.17495233883859299
social,auto_deficient,bike,2540.02093321,0.05233983418087525
social,auto_deficient,car,7918.53876216,0.16316991736068576
social,auto_deficient,drive_transit,0,0
social,auto_deficient,hov2,10246.230947510001,0.21113449175156365
social,auto_deficient,hov3,17148.05095174,0.3533538372083437
social,auto_deficient,walk,10676.56192684,0.22000191949853162
social,auto_deficient,walk_transit,0,0
social,auto_sufficient,bike,52585.1330459,0.04092597822905215
social,auto_sufficient,car,286540.67703624,0.22300899191197077
social,auto_sufficient,drive_transit,0,0
social,auto_sufficient,hov2,205806.72083566998,0.16017533641991918
social,auto_sufficient,hov3,488806.03357649,0.38042815392173884
social,auto_sufficient,walk,248215.03167062,0.19318089341731395
social,auto_sufficient,walk_transit,2930.36559635,0.0022806461000051447
social,no_auto,bike,1596.0390613999998,0.08669681970724818
social,no_auto,car,495.75079490999997,0.026929176312474705
social,no_auto,drive_transit,0,0
social,no_auto,hov2,4826.51000141,0.2621759564207825
social,no_auto,hov3,60.68719291,0.003296527478244876
social,no_auto,walk,10014.22075404,0.543972332644558
social,no_auto,walk_transit,1416.22251572,0.07692918743669183
univ,auto_deficient,bike,0,0
univ,auto_deficient,car,2523.11831624,0.4903999959546661
univ,auto_deficient,drive_transit,0,0
univ,auto_deficient,hov2,594.27318792,0.11550451957648643
univ,auto_deficient,hov3,355.74465380000004,0.06914347839398732
univ,auto_deficient,walk,560.0898087200001,0.10886054695201666
univ,auto_deficient,walk_transit,1111.7951121400001,0.21609145912284347
univ,auto_sufficient,bike,6339.06122339,0.040947428094199906
univ,auto_sufficient,car,70749.90865989,0.4570119605143656
univ,auto_sufficient,drive_transit,1767.00518365,0.011414043049878175
univ,auto_sufficient,hov2,25494.59954003,0.16468341993667063
univ,auto_sufficient,hov3,13934.47171054,0.09001029620800294
univ,auto_sufficient,walk,23173.68959271,0.14969140616177037
univ,auto_sufficient,walk_transit,13351.01694672,0.08624144603511227
univ,no_auto,bike,759.0622642,0.13215204065379568
univ,no_auto,car,476.17858579999995,0.08290225294683874
univ,no_auto,drive_transit,0,0
univ,no_auto,hov2,566.1675555,0.09856924963876519
univ,no_auto,hov3,0,0
univ,no_auto,walk,850,0.14798421664935976
univ,no_auto,walk_transit,3092.447387,0.5383922401112405
work,auto_deficient,bike,4920.23865002,0.028339401809530707
work,auto_deficient,car,87216.2554862,0.5023448422641169
work,auto_deficient,drive_transit,486.52603375,0.0028022739834342187
work,auto_deficient,hov2,37196.8260818,0.21424485179536504
work,auto_deficient,hov3,20024.37244164,0.1153356121465821
work,auto_deficient,walk,10703.80792621,0.061651382237662755
work,auto_deficient,walk_transit,13070.26931651,0.07528163576330826
work,auto_sufficient,bike,29826.48069732,0.01362885202614247
