Expression,work,univ,school,escort,shopping,eatout,othmaint,social,othdiscr,atwork
c_ivt,-0.022,-0.0271,-0.0271,-0.0279,-0.0279,-0.0279,-0.0175,-0.0175,-0.0279,-0.0279
c_ivt_lrt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,-0.01692
c_ivt_ferry,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,-0.01504
c_ivt_exp,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175
c_ivt_hvy,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt
c_ivt_com,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt
c_short_i_wait,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_long_i_wait,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,-0.0188
c_wacc,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_wegr,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_waux,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_dtim,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_xfers_wlk,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt,5.00 * c_ivt
c_xfers_drv,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt
c_xwait,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_walktimeshort,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_walktimelong,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort,5.00 * c_walktimeshort
c_biketimeshort,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,-0.0752
c_biketimelong,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort,5.00 * c_biketimeshort
#value_of_time is a person attribute so we cant compute c_cost as scalar here,,,,,,,,,,
#c_cost,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.6*ivt) / valueOfTime
c_dacc_ratio,0,0,0,0,0,0,0,0,0,0
c_topology_walk,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt
c_topology_bike,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt
