ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
1,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
2,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
3,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
4,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
5,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
6,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
7,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
8,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
9,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
9,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
10,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
10,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
11,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
11,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
12,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
13,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
14,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
15,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
16,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
17,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
18,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
19,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
20,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
21,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
22,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
23,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
24,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
25,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
26,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
27,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
28,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
29,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
30,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
31,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
32,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
33,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
34,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
35,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
36,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
37,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
38,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
38,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
39,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
39,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
39,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
40,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
41,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
41,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
42,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
43,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
44,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
