purpose,mode,trips,wfrc_share
hbw,walk,47099.16119999338,0.027517376357184795
hbw,bike,29406.288699987235,0.01718043151532161
hbw,drive_alone,1328609.310498788,0.7762312851690463
hbw,sr2,162166.110099506,0.09474448738143133
hbw,sr3,95617.24079913842,0.05586374649291688
hbw,crt,10820.744699997507,0.006321949198001555
hbw,local_bus,18142.11039998552,0.010599409141708198
hbw,express_bus,727.7589999999161,4.251884277788148e-4
hbw,lrt,19026.531399997544,0.011116126316610499
hbo,walk,429711.72420006094,0.09252764898227597
hbo,bike,80432.14769997894,0.0173190469567206
hbo,drive_alone,1394415.1002071847,0.30025234049114935
hbo,sr2,1076537.93819921,0.23180546131765395
hbo,sr3,1625739.336606138,0.3500622166039323
hbo,crt,4180.019600019374,9.000624477017036e-4
hbo,local_bus,17697.178099981862,0.0038106437199502204
hbo,express_bus,19.38389999999949,4.173837003042696e-6
hbo,lrt,15411.15359999328,0.003318405643612911
nhb,walk,131124.87389999558,0.054986598026095714
nhb,bike,15278.977299982042,0.006407167138133523
nhb,drive_alone,951560.64690361,0.3990324736452781
nhb,sr2,564399.0177008874,0.23667806869588165
nhb,sr3,708879.6430956359,0.2972653381806855
nhb,crt,1243.006899994811,5.212490866210879e-4
nhb,local_bus,4881.2427000125035,0.0020469261264502974
nhb,express_bus,7.037000000000105,2.9509327925435994e-6
nhb,lrt,7295.248700019795,0.0030592281680615545
