Index,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,3001,56.4,165.4,2.93,152.5,23.1,15.2,25.1,4.7,0.2,27.6,1.1,3,45.4,0,3.7,3.3,42202,21,0,0,3,BOX ELDER
2,3002,93.3,251.9,2.7,31.9,3.1,0.1,0.3,2.9,0.1,6.8,0.1,2.4,0,0,10.8,5.4,54204,0,0,0,3,BOX ELDER
3,3003,80.1,204.6,2.55,26,0,0,0.1,0,0,13.6,0,6.5,0,0,0.9,4.7,53540,0,0,0,3,BOX ELDER
4,3004,139.2,430.1,3.09,86.9,1.3,11,0.7,7.2,0.7,7,0.2,2.6,0,29.8,18.3,8.1,53540,0,0,0,3,BOX ELDER
5,3005,158.1,461.6,2.92,107.2,0.6,0.3,2.8,4.9,0.3,71.2,0.4,1.1,0,0,16.4,9.2,56865,360,0,0,3,BOX ELDER
6,3006,74.7,254,3.4,75.8,0.4,0.2,0.9,12.7,3.5,12.3,0.3,15.4,0,0,25.7,4.4,52913,0,0,0,3,BOX ELDER
7,3007,122.8,356.1,2.9,136.8,0,1,0,0,0,98,0,0,0,0,30.4,7.2,52913,0,0,0,3,BOX ELDER
8,3008,6.7,15.2,2.27,3.2,0,0,0,0,0,0,0,0,0,0,2.8,0.4,48829,0,0,0,3,BOX ELDER
9,3009,17.3,52.4,3.04,19.1,0.5,0.3,1.3,9.8,0.2,0.6,0.3,0.9,0,0,4.2,1,48829,0,0,0,3,BOX ELDER
10,3010,137.1,420,3.06,80.9,12.8,0,2.5,7,0,40.4,0.8,4.3,0,0,5.1,8,48829,704,0,0,3,BOX ELDER
11,3011,108.5,318.8,2.94,43,0.3,0.2,3.3,0.3,0.1,0.4,0.2,4.8,0,0,27.1,6.3,48829,0,0,0,3,BOX ELDER
12,3012,14,16.8,1.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,48829,0,0,0,3,BOX ELDER
13,3013,15.8,57,3.61,1.8,0,0,0,0,0,0,0,0,0,0,0.9,0.9,48829,0,0,0,3,BOX ELDER
14,3014,108.8,384.2,3.53,99.6,2,5,10,3.6,0.8,2.5,22.9,44.1,0,0,2.3,6.3,48829,0,0,50,3,BOX ELDER
15,3015,196.5,628.9,3.2,41.7,1.4,4.2,2.4,4.6,0.2,0.6,13.8,0.8,0,0,2.3,11.5,48829,0,0,0,3,BOX ELDER
16,3016,22,62.7,2.84,33.9,0.9,0,7.2,14.6,0.5,0,0,0,0,0,9.4,1.3,48829,0,0,0,3,BOX ELDER
17,3017,133,442.5,3.33,85.3,2.3,0.7,26.8,8.3,0.6,1.7,0.9,4.4,0,0,31.8,7.8,53540,0,0,0,3,BOX ELDER
18,3018,0,0,0,342.8,1.3,0.7,322.7,11.2,0.6,1.7,0.9,2.3,0,0,1.4,0,48829,0,0,0,3,BOX ELDER
19,3019,0,0,0,999.3,541.1,0,411,30.8,0,0,5.6,10.8,0,0,0,0,48829,0,0,0,3,BOX ELDER
20,3020,23.9,67.8,2.84,16.7,0.9,0.5,2.2,1,0.4,1.1,0.6,5.8,0,0,2.8,1.4,54181,0,0,0,3,BOX ELDER
21,3021,223.6,717.7,3.21,221.2,22.3,57,11.9,14.9,2,5.9,3.2,40.4,0,0,50.6,13,44563,0,0,0,3,BOX ELDER
22,3022,17.1,59.9,3.5,968.2,3.9,34.3,692.6,121.6,0,0,0,85,28.4,0,1.4,1,44563,0,0,0,3,BOX ELDER
23,3023,77.6,217,2.8,238.5,12.2,3.8,4.4,71.3,0.7,2.2,47.3,70,0,0,22,4.5,44563,0,0,0,3,BOX ELDER
24,3024,117.7,418.2,3.55,261.2,0.4,1.2,0.9,6,9.7,0.5,122.1,71.1,0,0,42.6,6.9,44563,0,0,0,3,BOX ELDER
25,3025,181.8,487.2,2.68,116.8,0,0,0.1,0.1,0,99.4,0.8,0.1,0,0,5.6,10.6,60482,550,0,929,3,BOX ELDER
26,3026,133.2,437,3.28,275,0,0,0,0,1.1,127,0,120.8,5.7,0,12.6,7.8,60482,388,132,201,3,BOX ELDER
27,3027,14,46.4,3.32,87.3,7.3,10.6,13.7,17.5,1.5,4.4,2.4,6.1,0,0,22.9,0.8,46238,0,0,0,3,BOX ELDER
28,3028,99.9,273.9,2.74,85.8,3.8,13.4,7.2,4.5,1.8,3.6,2.8,5,8.5,0,29.5,5.8,46238,0,0,0,3,BOX ELDER
29,3029,395,1096,2.77,191.4,3,0.1,4,31.8,2.3,43.9,37.2,21.4,0,0,24.8,23.1,44563,0,686,0,3,BOX ELDER
30,3030,277.3,787.8,2.84,428.7,64.5,35.6,2.5,1.4,107.6,1.4,12.8,177.8,0,0,8.9,16.2,28389,0,0,0,3,BOX ELDER
31,3031,55.5,146.8,2.64,47.8,0.7,0.4,1.9,0.8,2,0.9,6.9,14.1,0,0,16.9,3.2,46238,0,0,0,3,BOX ELDER
32,3032,28.2,90.7,3.22,15.8,0,0,0,0,0,0,0,0,14.2,0,0,1.6,54181,0,0,0,3,BOX ELDER
33,3033,0,0,0,162.7,11.2,113.8,3.4,9.9,0.6,1.7,0.9,19.7,0,0,1.4,0,41750,0,0,0,3,BOX ELDER
34,3034,22.9,73.9,3.23,203.9,46.8,3.8,18,36.7,3.6,9,4.9,61.2,0,0,18.7,1.3,41750,0,0,0,3,BOX ELDER
35,3035,279,891.5,3.2,182.3,53.4,4.4,13.8,10.5,4.1,5.6,3.9,65.7,0,0,4.7,16.3,45413,0,0,0,3,BOX ELDER
36,3036,198.7,523.6,2.63,817,231,66.6,2.5,57.4,2.3,267.2,29.8,148.7,0,0,0,11.6,38338,598,0,0,3,BOX ELDER
37,3037,75.4,220.8,2.93,75.3,9.8,0,0,1.4,3.4,0,16.8,32.1,0,0,7.5,4.4,46238,0,0,0,3,BOX ELDER
38,3038,34.2,107.7,3.15,25.4,0,0,0,0,0,0,0,0,0,0,23.4,2,46238,0,0,0,3,BOX ELDER
39,3039,39.8,121.2,3.04,61.9,6,6.5,2.8,1.2,0.5,1.4,0.7,14.8,0,0,25.7,2.3,46238,0,0,0,3,BOX ELDER
40,3040,407,1333.9,3.28,83,0,0,0,2.8,0,41.9,1.6,12.9,0,0,0,23.8,41750,0,0,0,3,BOX ELDER
41,3041,97.8,313.2,3.2,48.8,4.2,1.2,5.7,6.6,1,2.8,1.5,10.3,0,0,9.8,5.7,45413,0,0,0,3,BOX ELDER
42,3042,19.2,29.9,1.56,80.8,2.1,1.1,7.9,6.5,0.9,13.4,1.5,3.7,0,0,42.6,1.1,41750,0,0,0,3,BOX ELDER
43,3043,27.6,87.1,3.16,2.1,0,0,0,0,0,0,0,0,0,0,0.5,1.6,54181,0,0,0,3,BOX ELDER
44,3044,19.7,65.5,3.32,222.8,21.9,8.6,44.6,17.7,6.8,20.4,11.1,62.4,0,0,28.1,1.2,63578,0,0,0,3,BOX ELDER
45,3045,3.6,5.6,1.56,4.8,2,0,0.1,1.4,0,0.1,0,0.1,0,0,0.9,0.2,46238,0,0,0,3,BOX ELDER
46,3046,8.9,20.1,2.24,1.9,0,0,0,0,0,0,0,0,0,0,1.4,0.5,46238,0,0,0,3,BOX ELDER
47,3047,8.2,24.4,2.98,2.4,0,0,0,0,0,0,0,0,0,0,1.9,0.5,46238,0,0,0,3,BOX ELDER
48,3048,8.3,30.6,3.67,2.8,0,0,0,0,0,0,0,0,0,0,2.3,0.5,46238,0,0,0,3,BOX ELDER
49,3049,39.4,115.3,2.93,61.6,2.4,31.4,1.1,0.5,0.2,0.6,0.3,3,14.2,0,5.6,2.3,46238,0,0,0,3,BOX ELDER
50,3050,14,43.3,3.09,7.1,3,0,0,0,0,0,0,0,0,0,3.3,0.8,46238,0,0,0,3,BOX ELDER
51,3051,17.6,38.7,2.2,9.1,1,0,0,0,2.8,0,0,0,0,0,4.2,1,55022,0,0,0,3,BOX ELDER
52,3052,11.9,33.9,2.85,24.2,0.3,0.1,0.7,1.7,0.1,16.6,0.2,0.5,0,0,3.3,0.7,63578,0,0,0,3,BOX ELDER
53,3053,19.8,68.1,3.44,5.8,2,0,0.1,0,0,0,0,0.1,0,0,2.3,1.2,63578,0,0,0,3,BOX ELDER
54,3054,103.3,379.9,3.68,59.6,14.4,20.3,6.3,0.5,1.3,0.6,0.3,0.9,0,0,8.9,6,46238,0,0,0,3,BOX ELDER
55,3055,6.5,19.5,3.01,0.9,0,0,0,0,0,0,0,0,0,0,0.5,0.4,63578,0,0,0,3,BOX ELDER
56,3056,18.4,60.8,3.3,3,0,0,0,0,0,0,0,0,0,0,1.9,1.1,63578,0,0,0,3,BOX ELDER
57,3057,17.9,53.1,2.98,15.6,0,0,0,0,0,4.1,0,0,5.7,0,4.7,1,63578,0,0,0,3,BOX ELDER
58,3058,66.5,222.8,3.35,15.7,0,0,0.1,0,0,0,0,2.2,0,0,9.4,3.9,63578,0,0,0,3,BOX ELDER
59,3059,2.4,6.9,2.85,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.1,46238,0,0,0,3,BOX ELDER
60,3060,7.9,19.3,2.43,1.9,0,0,0,0,0,0,0,0,0,0,1.4,0.5,63578,0,0,0,3,BOX ELDER
61,3061,12.5,30.1,2.42,3,0,0,0,0,0,0,0,0,0,0,2.3,0.7,63578,0,0,0,3,BOX ELDER
62,3062,3.5,15.8,4.46,1.1,0,0,0,0,0,0,0,0,0,0,0.9,0.2,63578,0,0,0,3,BOX ELDER
63,3063,18.1,51.4,2.85,9.6,0.1,0,3.9,1.4,0,0.1,0,0.1,0,0,2.8,1.1,63578,0,0,0,3,BOX ELDER
64,3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46238,0,0,0,3,BOX ELDER
65,3065,1.4,1.7,1.2,1,0,0,0,0,0,0,0,0,0,0,0.9,0.1,55022,0,0,0,3,BOX ELDER
66,3066,22.3,46.3,2.07,7,0,0,0.1,1.4,0,0.1,0,2.2,0,0,1.9,1.3,55022,0,0,0,3,BOX ELDER
67,3067,18.9,51.9,2.74,30.2,0.2,0.1,0.4,0.2,0.1,21.9,0.9,2.5,0,0,2.8,1.1,55022,0,0,0,3,BOX ELDER
68,3068,16.9,48.3,2.86,3.8,0,0,0,0,0,0,0,0,0,0,2.8,1,55022,0,0,0,3,BOX ELDER
69,3069,23.2,85,3.65,1.4,0,0,0,0,0,0,0,0,0,0,0,1.4,46238,0,0,0,3,BOX ELDER
70,3070,11.6,33.2,2.86,3,0,0,0,0,0,0,0,0,0,0,2.3,0.7,55022,0,0,0,3,BOX ELDER
71,3071,42.6,120.6,2.83,22.8,0,0,0,0,0,0,0,0,19.8,0,0.5,2.5,55022,0,0,0,3,BOX ELDER
72,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55022,0,0,0,3,BOX ELDER
73,3073,17.1,45.6,2.66,11.2,0.1,0,0.1,0.1,0,0.1,0,6.5,0,0,3.3,1,54957,0,0,0,3,BOX ELDER
74,3074,70.2,233.4,3.32,14.7,0,0,0,0,0,0,0,2.1,0,0,8.4,4.1,55022,0,0,0,3,BOX ELDER
75,3075,5.4,15.5,2.85,55.8,0.1,0.1,2.7,34,0.1,0.2,0.1,0.3,17,0,0.9,0.3,63578,0,0,0,3,BOX ELDER
76,3076,11.1,33.5,3.02,11.3,0,0,0,0,0,0,6.4,4.3,0,0,0,0.6,54373,0,0,0,3,BOX ELDER
77,3077,46.4,113.6,2.45,59.3,0.5,7.2,1.2,0.5,0.2,0.6,0.3,43.7,0,0,2.3,2.7,54373,0,0,0,3,BOX ELDER
78,3078,20.1,24.1,1.2,11.3,0,0,0,0,0,0,0,2.1,0,0,8,1.2,55022,0,0,0,3,BOX ELDER
79,3079,169.5,556.2,3.28,79.5,1.2,2.1,0.5,3,1.2,17.7,31.3,8.9,0,0,3.7,9.9,54376,0,0,0,3,BOX ELDER
80,3080,9.3,21.6,2.32,2.3,0,0,0,1.3,0,0,0,0,0,0,0.5,0.5,63578,0,0,0,3,BOX ELDER
81,3081,12.3,29.1,2.37,1.2,0,0,0,0,0,0,0,0,0,0,0.5,0.7,55022,0,0,0,3,BOX ELDER
82,3082,18.8,61.8,3.29,8.8,0,0,0.1,0,0,0.1,0,6.5,0,0,0.9,1.1,55022,0,0,0,3,BOX ELDER
83,3083,26.3,56.7,2.16,5.4,2,0,0,0,0,0,0,0,0,0,1.9,1.5,55022,0,0,0,3,BOX ELDER
84,3084,24.6,86.6,3.51,8.8,1.1,0.1,0.3,0.1,0.1,0.2,0.1,4.5,0,0,0.9,1.4,55022,0,0,0,3,BOX ELDER
85,3085,52.7,168.8,3.2,18,0,0,0,0,0,12.2,0,2.2,0,0,0.5,3.1,55022,0,0,0,3,BOX ELDER
86,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55022,0,0,0,3,BOX ELDER
87,3087,12.3,35.1,2.85,4.9,0,0,3.8,0,0,0,0,0,0,0,0.5,0.7,55022,0,0,0,3,BOX ELDER
88,3088,114.6,362.9,3.17,86,0,0,1.3,0,0,2.7,0,0,70.9,0,4.2,6.7,63578,439,0,0,3,BOX ELDER
89,3089,110.6,352.8,3.19,20.6,0,0,5,1.4,0.6,0.1,0.8,0.1,0,0,6.1,6.5,63578,0,0,0,3,BOX ELDER
90,3090,14.3,31.6,2.21,4.5,0,0,0,0,0,0,0,0,0,0,3.7,0.8,63578,0,0,0,3,BOX ELDER
91,3091,45,107.6,2.39,10.2,0,0,0,0,0.6,0,0,0,0,0,7,2.6,63578,0,0,0,3,BOX ELDER
92,3092,0,0,0,1008.4,0,0,0,1006.8,1.6,0,0,0,0,0,0,0,46112,0,0,0,3,BOX ELDER
93,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46112,0,0,0,3,BOX ELDER
94,3094,13.1,28.6,2.18,229.7,7.7,4.1,109,59,3.3,9.7,5.3,13.5,0,0,17.3,0.8,46112,0,0,0,3,BOX ELDER
95,3095,63.9,177.2,2.77,62,14,6.7,12.1,5,1.4,4.1,2.3,5.7,0,0,7,3.7,46112,0,0,0,3,BOX ELDER
96,3096,12.5,54.2,4.32,10.1,0,0,0,0,0,0,0,0,0,0,9.4,0.7,46112,0,0,0,3,BOX ELDER
97,3097,98.1,288.6,2.94,95.5,0.3,0.1,0.7,7.3,1.2,62.3,0.2,13.4,0,0,4.2,5.7,46112,239,0,0,3,BOX ELDER
98,3098,20.6,58,2.82,7.6,0.1,0,0.1,0.1,0,0.1,0,2.2,0,0,3.7,1.2,46112,0,0,0,3,BOX ELDER
99,3099,27.3,60.6,2.22,5,0.2,0.1,0.4,1.5,0.1,0.2,0.1,0.3,0,0,0.5,1.6,46112,0,0,0,3,BOX ELDER
100,3162,275.7,794.2,2.88,91.6,3.3,1.2,0.9,4.6,1.3,31.4,1.8,9.2,0,0,22,16.1,60376,0,0,0,3,BOX ELDER
101,3208,18.2,40,2.2,4.4,0.1,0,0.2,0.1,0,2.8,0,0.1,0,0,0,1.1,42202,11,0,0,3,BOX ELDER
102,3209,48.4,146.5,3.03,11.1,1,0,0.1,0.1,0,6.9,0,0.1,0,0,0,2.8,42202,30,2,3,3,BOX ELDER
103,3210,2,5.8,2.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,42202,0,0,0,3,BOX ELDER
104,3211,6.1,12.4,2.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,42202,0,0,0,3,BOX ELDER
105,3212,6,11.3,1.88,54.3,0,0,0,0,0,0,0,0,53.9,0,0,0.4,42202,0,0,0,3,BOX ELDER
106,3213,7.1,12.3,1.74,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,42202,0,0,0,3,BOX ELDER
107,3214,11.1,31.6,2.85,1.9,0,0,0,1.3,0,0,0,0,0,0,0,0.6,44384,0,0,0,3,BOX ELDER
108,3215,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,54204,0,0,0,3,BOX ELDER
109,3216,2,3.8,1.88,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,54204,0,0,0,3,BOX ELDER
110,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53540,0,0,0,3,BOX ELDER
111,3218,2,5.8,2.85,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,53540,0,0,0,3,BOX ELDER
112,3219,2,2.4,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,53540,0,0,0,3,BOX ELDER
113,3220,10.2,41.6,4.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,53540,0,0,0,3,BOX ELDER
114,3221,4.1,5.7,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,53540,0,0,0,3,BOX ELDER
115,3222,3,36,11.85,11.5,0,0,0,0,0,0,0,0,11.3,0,0,0.2,53540,0,0,0,3,BOX ELDER
116,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53540,0,0,0,3,BOX ELDER
117,3224,6.1,23.3,3.81,60.5,0.7,0.3,27.8,2.1,0.3,0.8,0.4,1.1,25.5,0,0.9,0.4,53540,0,0,0,3,BOX ELDER
