Token,File,Matrix,TimePeriod,name
SOV_TIME,skm_auto_Pk.mtx.omx,ivt_GP,AM,SOV_TIME__AM
SOV_DIST,skm_auto_Pk.mtx.omx,dist_GP,AM,SOV_DIST__AM
SOV_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,SOV_BTOLL__AM
HOV2_TIME,skm_auto_Pk.mtx.omx,ivt_HOV_S2,AM,HOV2_TIME__AM
HOV2_DIST,skm_auto_Pk.mtx.omx,dist_HOV_S2,AM,HOV2_DIST__AM
HOV2_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,HOV2_BTOLL__AM
HOV3_TIME,skm_auto_Pk.mtx.omx,ivt_HOV_S3,AM,HOV3_TIME__AM
HOV3_DIST,skm_auto_Pk.mtx.omx,dist_HOV_S3,AM,HOV3_DIST__AM
HOV3_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,HOV3_BTOLL__AM
SOVTOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_DA,AM,SOVTOLL_TIME__AM
SOVTOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_DA,AM,SOVTOLL_DIST__AM
SOVTOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,SOVTOLL_BTOLL__AM
SOVTOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,SOVTOLL_VTOLL__AM
HOV2TOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_S2,AM,HOV2TOLL_TIME__AM
HOV2TOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_S2,AM,HOV2TOLL_DIST__AM
HOV2TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,HOV2TOLL_BTOLL__AM
HOV2TOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_S2,AM,HOV2TOLL_VTOLL__AM
HOV3TOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_S3,AM,HOV3TOLL_TIME__AM
HOV3TOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_S3,AM,HOV3TOLL_DIST__AM
HOV3TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,AM,HOV3TOLL_BTOLL__AM
HOV3TOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_S3,AM,HOV3TOLL_VTOLL__AM
SOV_TIME,skm_auto_Ok.mtx.omx,ivt_GP,EA,SOV_TIME__EA
SOV_DIST,skm_auto_Ok.mtx.omx,dist_GP,EA,SOV_DIST__EA
SOV_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,SOV_BTOLL__EA
HOV2_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S2,EA,HOV2_TIME__EA
HOV2_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S2,EA,HOV2_DIST__EA
HOV2_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,HOV2_BTOLL__EA
HOV3_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S3,EA,HOV3_TIME__EA
HOV3_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S3,EA,HOV3_DIST__EA
HOV3_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,HOV3_BTOLL__EA
SOVTOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_DA,EA,SOVTOLL_TIME__EA
SOVTOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_DA,EA,SOVTOLL_DIST__EA
SOVTOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,SOVTOLL_BTOLL__EA
SOVTOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_DA,EA,SOVTOLL_VTOLL__EA
HOV2TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S2,EA,HOV2TOLL_TIME__EA
HOV2TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S2,EA,HOV2TOLL_DIST__EA
HOV2TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,HOV2TOLL_BTOLL__EA
HOV2TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S2,EA,HOV2TOLL_VTOLL__EA
HOV3TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S3,EA,HOV3TOLL_TIME__EA
HOV3TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S3,EA,HOV3TOLL_DIST__EA
HOV3TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EA,HOV3TOLL_BTOLL__EA
HOV3TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S3,EA,HOV3TOLL_VTOLL__EA
SOV_TIME,skm_auto_Ok.mtx.omx,ivt_GP,EV,SOV_TIME__EV
SOV_DIST,skm_auto_Ok.mtx.omx,dist_GP,EV,SOV_DIST__EV
SOV_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,SOV_BTOLL__EV
HOV2_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S2,EV,HOV2_TIME__EV
HOV2_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S2,EV,HOV2_DIST__EV
HOV2_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,HOV2_BTOLL__EV
HOV3_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S3,EV,HOV3_TIME__EV
HOV3_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S3,EV,HOV3_DIST__EV
HOV3_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,HOV3_BTOLL__EV
SOVTOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_DA,EV,SOVTOLL_TIME__EV
SOVTOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_DA,EV,SOVTOLL_DIST__EV
SOVTOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,SOVTOLL_BTOLL__EV
SOVTOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_DA,EV,SOVTOLL_VTOLL__EV
HOV2TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S2,EV,HOV2TOLL_TIME__EV
HOV2TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S2,EV,HOV2TOLL_DIST__EV
HOV2TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,HOV2TOLL_BTOLL__EV
HOV2TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S2,EV,HOV2TOLL_VTOLL__EV
HOV3TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S3,EV,HOV3TOLL_TIME__EV
HOV3TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S3,EV,HOV3TOLL_DIST__EV
HOV3TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,EV,HOV3TOLL_BTOLL__EV
HOV3TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S3,EV,HOV3TOLL_VTOLL__EV
SOV_TIME,skm_auto_Ok.mtx.omx,ivt_GP,MD,SOV_TIME__MD
SOV_DIST,skm_auto_Ok.mtx.omx,dist_GP,MD,SOV_DIST__MD
SOV_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,SOV_BTOLL__MD
HOV2_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S2,MD,HOV2_TIME__MD
HOV2_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S2,MD,HOV2_DIST__MD
HOV2_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,HOV2_BTOLL__MD
HOV3_TIME,skm_auto_Ok.mtx.omx,ivt_HOV_S3,MD,HOV3_TIME__MD
HOV3_DIST,skm_auto_Ok.mtx.omx,dist_HOV_S3,MD,HOV3_DIST__MD
HOV3_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,HOV3_BTOLL__MD
