taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
1,Public,Block,NoCharger,1000000,0,Any
1,Residential,Block,NoCharger,1000000,0,Any
1,Workplace,Block,NoCharger,1000000,0,Any
2,Public,Block,NoCharger,1000000,0,Any
2,Residential,Block,NoCharger,1000000,0,Any
2,Workplace,Block,NoCharger,1000000,0,Any
3,Public,Block,NoCharger,1000000,0,Any
3,Residential,Block,NoCharger,1000000,0,Any
3,Workplace,Block,NoCharger,1000000,0,Any
4,Public,Block,NoCharger,1000000,0,Any
4,Residential,Block,NoCharger,1000000,0,Any
4,Workplace,Block,NoCharger,1000000,0,Any
5,Public,Block,NoCharger,1000000,0,Any
5,Residential,Block,NoCharger,1000000,0,Any
5,Workplace,Block,NoCharger,1000000,0,Any
6,Public,Block,NoCharger,1000000,0,Any
6,Residential,Block,NoCharger,1000000,0,Any
6,Workplace,Block,NoCharger,1000000,0,Any
7,Public,Block,NoCharger,1000000,0,Any
7,Residential,Block,NoCharger,1000000,0,Any
7,Workplace,Block,NoCharger,1000000,0,Any
8,Public,Block,NoCharger,1000000,0,Any
8,Residential,Block,NoCharger,1000000,0,Any
8,Workplace,Block,NoCharger,1000000,0,Any
9,Public,Block,NoCharger,1000000,0,Any
9,Residential,Block,NoCharger,1000000,0,Any
9,Workplace,Block,NoCharger,1000000,0,Any
10,Public,Block,NoCharger,1000000,0,Any
10,Residential,Block,NoCharger,1000000,0,Any
10,Workplace,Block,NoCharger,1000000,0,Any
11,Public,Block,NoCharger,1000000,0,Any
11,Residential,Block,NoCharger,1000000,0,Any
11,Workplace,Block,NoCharger,1000000,0,Any
12,Public,Block,NoCharger,1000000,0,Any
12,Residential,Block,NoCharger,1000000,0,Any
12,Workplace,Block,NoCharger,1000000,0,Any
13,Public,Block,NoCharger,1000000,0,Any
13,Residential,Block,NoCharger,1000000,0,Any
13,Workplace,Block,NoCharger,1000000,0,Any
14,Public,Block,NoCharger,1000000,0,Any
14,Residential,Block,NoCharger,1000000,0,Any
14,Workplace,Block,NoCharger,1000000,0,Any
15,Public,Block,NoCharger,1000000,0,Any
15,Residential,Block,NoCharger,1000000,0,Any
15,Workplace,Block,NoCharger,1000000,0,Any
16,Public,Block,NoCharger,1000000,0,Any
16,Residential,Block,NoCharger,1000000,0,Any
16,Workplace,Block,NoCharger,1000000,0,Any
17,Public,Block,NoCharger,1000000,0,Any
17,Residential,Block,NoCharger,1000000,0,Any
17,Workplace,Block,NoCharger,1000000,0,Any
18,Public,Block,NoCharger,1000000,0,Any
18,Residential,Block,NoCharger,1000000,0,Any
18,Workplace,Block,NoCharger,1000000,0,Any
19,Public,Block,NoCharger,1000000,0,Any
19,Residential,Block,NoCharger,1000000,0,Any
19,Workplace,Block,NoCharger,1000000,0,Any
20,Public,Block,NoCharger,1000000,0,Any
20,Residential,Block,NoCharger,1000000,0,Any
20,Workplace,Block,NoCharger,1000000,0,Any
21,Public,Block,NoCharger,1000000,0,Any
21,Residential,Block,NoCharger,1000000,0,Any
21,Workplace,Block,NoCharger,1000000,0,Any
22,Public,Block,NoCharger,1000000,0,Any
22,Residential,Block,NoCharger,1000000,0,Any
22,Workplace,Block,NoCharger,1000000,0,Any
23,Public,Block,NoCharger,1000000,0,Any
23,Residential,Block,NoCharger,1000000,0,Any
23,Workplace,Block,NoCharger,1000000,0,Any
24,Public,Block,NoCharger,1000000,0,Any
24,Residential,Block,NoCharger,1000000,0,Any
24,Workplace,Block,NoCharger,1000000,0,Any
25,Public,Block,NoCharger,1000000,0,Any
25,Residential,Block,NoCharger,1000000,0,Any
25,Workplace,Block,NoCharger,1000000,0,Any
26,Public,Block,NoCharger,1000000,0,Any
26,Residential,Block,NoCharger,1000000,0,Any
26,Workplace,Block,NoCharger,1000000,0,Any
27,Public,Block,NoCharger,1000000,0,Any
27,Residential,Block,NoCharger,1000000,0,Any
27,Workplace,Block,NoCharger,1000000,0,Any
28,Public,Block,NoCharger,1000000,0,Any
28,Residential,Block,NoCharger,1000000,0,Any
28,Workplace,Block,NoCharger,1000000,0,Any
29,Public,Block,NoCharger,1000000,0,Any
29,Residential,Block,NoCharger,1000000,0,Any
29,Workplace,Block,NoCharger,1000000,0,Any
30,Public,Block,NoCharger,1000000,0,Any
30,Residential,Block,NoCharger,1000000,0,Any
30,Workplace,Block,NoCharger,1000000,0,Any
31,Public,Block,NoCharger,1000000,0,Any
31,Residential,Block,NoCharger,1000000,0,Any
31,Workplace,Block,NoCharger,1000000,0,Any
32,Public,Block,NoCharger,1000000,0,Any
32,Residential,Block,NoCharger,1000000,0,Any
32,Workplace,Block,NoCharger,1000000,0,Any
33,Public,Block,NoCharger,1000000,0,Any
33,Residential,Block,NoCharger,1000000,0,Any
33,Workplace,Block,NoCharger,1000000,0,Any
34,Public,Block,NoCharger,1000000,0,Any
34,Residential,Block,NoCharger,1000000,0,Any
34,Workplace,Block,NoCharger,1000000,0,Any
35,Public,Block,NoCharger,1000000,0,Any
35,Residential,Block,NoCharger,1000000,0,Any
35,Workplace,Block,NoCharger,1000000,0,Any
36,Public,Block,NoCharger,1000000,0,Any
36,Residential,Block,NoCharger,1000000,0,Any
36,Workplace,Block,NoCharger,1000000,0,Any
37,Public,Block,NoCharger,1000000,0,Any
37,Residential,Block,NoCharger,1000000,0,Any
37,Workplace,Block,NoCharger,1000000,0,Any
38,Public,Block,NoCharger,1000000,0,Any
38,Residential,Block,NoCharger,1000000,0,Any
38,Workplace,Block,NoCharger,1000000,0,Any
39,Public,Block,NoCharger,1000000,0,Any
39,Residential,Block,NoCharger,1000000,0,Any
39,Workplace,Block,NoCharger,1000000,0,Any
40,Public,Block,NoCharger,1000000,0,Any
40,Residential,Block,NoCharger,1000000,0,Any
40,Workplace,Block,NoCharger,1000000,0,Any
41,Public,Block,NoCharger,1000000,0,Any
41,Residential,Block,NoCharger,1000000,0,Any
41,Workplace,Block,NoCharger,1000000,0,Any
42,Public,Block,NoCharger,1000000,0,Any
42,Residential,Block,NoCharger,1000000,0,Any
42,Workplace,Block,NoCharger,1000000,0,Any
43,Public,Block,NoCharger,1000000,0,Any
43,Residential,Block,NoCharger,1000000,0,Any
43,Workplace,Block,NoCharger,1000000,0,Any
44,Public,Block,NoCharger,1000000,0,Any
44,Residential,Block,NoCharger,1000000,0,Any
44,Workplace,Block,NoCharger,1000000,0,Any
45,Public,Block,NoCharger,1000000,0,Any
45,Residential,Block,NoCharger,1000000,0,Any
45,Workplace,Block,NoCharger,1000000,0,Any
46,Public,Block,NoCharger,1000000,0,Any
46,Residential,Block,NoCharger,1000000,0,Any
46,Workplace,Block,NoCharger,1000000,0,Any
47,Public,Block,NoCharger,1000000,0,Any
47,Residential,Block,NoCharger,1000000,0,Any
47,Workplace,Block,NoCharger,1000000,0,Any
48,Public,Block,NoCharger,1000000,0,Any
48,Residential,Block,NoCharger,1000000,0,Any
48,Workplace,Block,NoCharger,1000000,0,Any
49,Public,Block,NoCharger,1000000,0,Any
49,Residential,Block,NoCharger,1000000,0,Any
49,Workplace,Block,NoCharger,1000000,0,Any
50,Public,Block,NoCharger,1000000,0,Any
50,Residential,Block,NoCharger,1000000,0,Any
50,Workplace,Block,NoCharger,1000000,0,Any
51,Public,Block,NoCharger,1000000,0,Any
51,Residential,Block,NoCharger,1000000,0,Any
51,Workplace,Block,NoCharger,1000000,0,Any
52,Public,Block,NoCharger,1000000,0,Any
52,Residential,Block,NoCharger,1000000,0,Any
52,Workplace,Block,NoCharger,1000000,0,Any
53,Public,Block,NoCharger,1000000,0,Any
53,Residential,Block,NoCharger,1000000,0,Any
53,Workplace,Block,NoCharger,1000000,0,Any
54,Public,Block,NoCharger,1000000,0,Any
54,Residential,Block,NoCharger,1000000,0,Any
54,Workplace,Block,NoCharger,1000000,0,Any
55,Public,Block,NoCharger,1000000,0,Any
55,Residential,Block,NoCharger,1000000,0,Any
55,Workplace,Block,NoCharger,1000000,0,Any
56,Public,Block,NoCharger,1000000,0,Any
56,Residential,Block,NoCharger,1000000,0,Any
56,Workplace,Block,NoCharger,1000000,0,Any
57,Public,Block,NoCharger,1000000,0,Any
57,Residential,Block,NoCharger,1000000,0,Any
57,Workplace,Block,NoCharger,1000000,0,Any
58,Public,Block,NoCharger,1000000,0,Any
58,Residential,Block,NoCharger,1000000,0,Any
58,Workplace,Block,NoCharger,1000000,0,Any
59,Public,Block,NoCharger,1000000,0,Any
59,Residential,Block,NoCharger,1000000,0,Any
