TAZID,CO_FIPS,xcoord,ycoord
460,11,-112.074153530777,41.1072949451103
461,11,-112.074151063015,41.1145118850144
656,35,-112.09199061716,40.8093242409292
657,35,-112.073893695008,40.8145626776553
2696,49,-111.757078735997,40.0716278097377
2697,49,-111.740959088265,40.0715764748437
2695,49,-111.739649420382,40.0815809227051
1354,35,-112.066463495644,40.616375499572
1355,35,-112.069464212835,40.6033253093826
1362,35,-112.051089902702,40.5914432364965
1363,35,-112.053615914313,40.5836113705809
1361,35,-112.071816312906,40.5784708430764
1368,35,-112.069687677908,40.5694513804562
1369,35,-112.072883780678,40.5631644696346
1370,35,-112.072374469391,40.5579585498628
1414,35,-112.03018217854,40.4847017018295
1419,35,-112.024001002461,40.4710379510099
1789,49,-111.98553169549,40.2143423642813
1791,49,-111.985724009897,40.2574257017592
1792,49,-112.000910660687,40.2668763280358
1798,49,-112.017782742857,40.2636171101031
1790,49,-112.002707560646,40.2541864797277
1807,49,-112.088408050899,40.2765056321687
1810,49,-112.072578963746,40.2835382361356
1814,49,-112.089435526386,40.2873109255104
1815,49,-112.090663987309,40.298428837828
1818,49,-112.121518723157,40.2966056795571
1816,49,-112.104153627357,40.2888533281983
1819,49,-111.979983330998,40.2943309902637
1820,49,-111.99852776034,40.2943772568729
1802,49,-112.034272300565,40.2834930678431
1826,49,-112.029429666223,40.2945430976688
1827,49,-112.039037709287,40.2945554321475
1829,49,-112.029505527791,40.3018369828012
1830,49,-112.03905096021,40.301892389209
1832,49,-112.039064525046,40.309045654538
1833,49,-112.03600664207,40.3161652970196
1835,49,-112.03848368216,40.3256474077095
1837,49,-112.073001842844,40.3130821655499
1838,49,-112.091999838545,40.3110762035176
1843,49,-112.045047186094,40.3366090704172
1844,49,-112.054777160595,40.3366973675608
1845,49,-112.044896552215,40.343833117544
1846,49,-112.05456912896,40.3439409650405
1847,49,-112.044762220823,40.3511022664038
1848,49,-112.054353455806,40.351188505461
1849,49,-112.043753488423,40.3592338692778
1851,49,-112.06538329282,40.3508555237307
1852,49,-112.071167779795,40.3401456182756
1854,49,-112.103525141192,40.3401774742494
1856,49,-112.101706765477,40.355721966057
1855,49,-112.070559665621,40.3567517808314
1860,49,-112.068723330085,40.3695179511909
1858,49,-112.05460369397,40.3640054149165
1861,49,-112.049525651652,40.373091699487
1862,49,-112.049355926071,40.3840571894027
1863,49,-112.068616289535,40.3841646565275
1864,49,-112.089256224702,40.3847315624066
1871,49,-111.987969252922,40.3109604959367
1872,49,-111.977444154455,40.3110523455202
1874,49,-112.000847641662,40.320415509169
1875,49,-112.009528762614,40.3212159183052
1886,49,-112.025933955002,40.3365765493093
1887,49,-112.035463805895,40.3365825478303
1889,49,-112.025840446207,40.3438363736689
1890,49,-112.035418887807,40.3438143080829
1891,49,-112.035355287339,40.3511069191807
1892,49,-112.025752876345,40.3511511367054
1894,49,-112.025731816644,40.3583846261789
1895,49,-112.035213612321,40.3583235986216
1909,49,-112.011672568037,40.3835181136308
1912,49,-112.030311958761,40.3839739230433
1911,49,-112.035458054752,40.3716776349726
1960,49,-111.921041995277,40.3584135626801
1961,49,-111.9308795452,40.3583732341284
1959,49,-111.930794996256,40.3510548471783
1950,49,-111.940529350804,40.3583105848425
1970,49,-111.930787013596,40.3656825988513
1974,49,-111.94044999098,40.367223266444
1975,49,-111.950679563103,40.3681128448763
1976,49,-111.963066579943,40.3663789443613
1977,49,-111.972695451951,40.3671896848082
2191,49,-111.829564779329,40.3684602087461
2192,49,-111.818723699966,40.3684720242323
2195,49,-111.806870502581,40.3591535906982
2199,49,-111.807371328947,40.3513487266586
2228,49,-111.710505843613,40.3395135489796
