tazid,tothh,resacre,ciacre,totemp,cbd
1,1,84.101814158,41.2731,0,0
2,15,74.545175097,72.9883,4,0
3,5,63.699322613999996,51.8683,2,0
4,21,86.533605151,92.50670000000001,87,0
5,30,44.050597639,48.0777,71,0
6,15,80.134603928,99.1782,44,0
7,0,405.098016007,365.0196,180,0
8,0,252.268179806,64.0299,0,0
9,12,30.735612035,14.9006,0,0
10,55,151.609971741,113.4683,14,0
11,37,112.817466878,114.1756,9,0
12,6,244.55732379,82.9785,55,0
13,159,18.946252199,23.2078,89,0
14,6,120.223854606,187.8162,0,0
15,6,63.155109847,45.287,5,0
16,17,115.78788772,65.97579999999999,5,0
17,0,38.810256721,30.6185,0,0
18,7,92.00389970100001,57.10979999999999,3,0
19,0,347.116652941,522.1270999999999,8,0
20,0,12.50966614,56.2309,94,0
21,0,108.247662023,177.4872,0,0
22,0,62.248340289,185.559,0,0
23,0,0,10.237699999999998,9,0
24,0,0.114896694,14.397899999999998,0,0
25,0,32.795281654,35.409,683,0
26,0,49.78331602,24.9766,0,0
27,0,24.229999032,16.845399999999998,0,0
28,6,27.796373,23.4663,23,0
29,6,20.481257958,26.3593,287,0
30,12,10.422041435,14.915999999999999,118,0
31,20,26.912347202,22.352,140,0
32,1,18.589912317,22.7997,2234,0
33,119,8.140248737,11.182599999999999,47,0
34,295,7.99125642,12.4355,206,0
35,166,6.973597225,9.3456,37,0
36,316,7.0554711,11.9724,76,0
37,63,6.086515021,8.9496,140,0
38,338,7.552551688,12.9932,248,0
39,108,53.02289382,28.8673,211,0
40,175,3.943591215,6.2293,207,0
41,137,3.710966953,5.9807,15,0
42,199,4.227661665,7.0444,173,0
43,165,4.216007704,7.0630999999999995,18,0
44,115,2.822661302,4.6992,333,0
45,63,2.8384295219999998,4.7883000000000004,13,0
46,196,4.826270136,8.0212,784,0
47,168,4.886461739,8.251100000000001,153,0
48,96,2.193815555,3.4771,7,0
49,270,5.448784386,8.404,19,0
50,85,2.193949678,3.5156,9,0
51,72,26.602305198,16.8036,46,0
52,150,4.410273747,6.8475,62,0
53,154,27.01925283,9.0156,35,0
54,97,4.963664752,5.057799999999999,13,0
55,41,6.139520611,3.9281,7,0
56,82,96.003039187,47.956700000000005,44,0
57,0,37.748729554,27.4934,9,0
58,24,21.619008385,27.284399999999998,358,0
59,0,34.07982992,20.933,0,0
60,0,23.69249602,21.5314,0,0
61,0,45.114412691,25.5123,0,0
62,21,3.843003576,5.2492,138,0
63,44,3.358778465,4.9984,667,0
64,229,4.954707101,8.5338,755,0
65,21,2.635528222,3.8104,178,0
66,271,6.140527437,10.7525,80,0
67,133,8.058930473,9.7218,207,0
68,210,5.128723523,8.2665,50,0
69,225,5.597322824,9.3918,170,0
70,417,36.385290779,38.2734,1179,0
71,588,13.733902555,21.7965,710,0
72,142,3.688979104,6.3162,116,0
73,28,4.409004815,6.3547,36,0
74,89,6.6528697459999995,6.2821,81,0
75,145,3.435620422,5.6441,182,0
76,170,3.417639025,5.7717,59,0
77,85,6.396060307,4.4429,34,0
78,9,12.692286205,13.1538,0,0
79,274,27.974326519,37.383500000000005,554,0
80,0,19.055733345,24.1076,0,0
81,0,21.085618818,12.517999999999999,187,0
82,0,4.8822433180000004,5.8399,246,0
83,0,36.106923337,26.892799999999998,392,0
84,60,22.906851917,25.5761,217,0
85,66,23.182097035,21.9219,315,0
86,0,24.664828299,12.085700000000001,0,0
87,25,22.73862974,22.6457,15,0
88,227,15.216557901,20.516099999999998,100,0
89,54,6.718931367,6.4284,81,0
90,162,21.41672394,15.4638,69,0
91,158,22.323729572,20.2169,66,0
92,206,14.711557928,12.5774,32,0
93,158,4.477861407,6.2568,44,0
94,0,9.563097562,5.1953,0,0
95,40,12.973538588,12.9404,38,0
96,78,14.274226325,16.643,96,0
97,273,27.319738437,18.6648,63,0
98,0,9.30639455,11.902000000000001,0,0
99,153,20.521078071,21.5347,30,0
100,47,10.401341257,10.8647,33,0
101,19,32.130402161,22.1936,178,0
102,0,8.330251209,6.0588,0,0
103,0,11.655204566,10.8867,0,0
104,35,8.904450387,9.8582,49,0
105,0,17.507179569,15.433000000000002,0,0
106,24,28.484167455,19.2379,7,0
107,22,26.179745838,22.579700000000003,10,0
108,35,31.55383316,17.3162,7,0
109,0,9.627904367000001,9.9044,77,0
110,19,19.877473801,11.8932,16,0
111,17,10.570787669,11.459800000000001,17,0
112,6,15.658753176,9.0222,4,0
113,19,17.511166002,24.9986,9,0
114,42,9.615094844,12.6335,11,0
115,15,23.594543381,17.0896,8,0
116,40,13.597706716,13.9414,14,0
117,62,4.407990058,6.8167,66,0
118,173,16.729387076,19.1224,26,0
119,85,11.10034255,14.0624,5,0
120,60,10.384272931,11.0198,11,0
121,59,19.138726515000002,13.974400000000001,9,0
122,9,19.773678021,27.0017,8,0
123,55,54.999632063,20.2411,14,0
124,124,32.503053367,45.397,24,0
125,59,65.73684357799999,25.1317,99,0
126,153,27.585930292,31.892300000000002,52,0
127,170,140.285382973,50.4801,81,0
128,93,109.12536286299999,59.145900000000005,175,0
129,45,14.8589284,19.2016,10,0
130,3,19.97906392,16.2371,0,0
131,2,88.604378817,107.95729999999999,11,0
132,1,64.142868863,30.8704,25,0
133,4,46.379579823,90.15270000000001,0,0
134,1,54.595831759,46.636700000000005,0,0
135,0,45.847816065,54.7481,0,0
141,145,2225.337439233,388.16799207,1217,0
142,31,389.252606776,0,16,0
143,50,175.958120136,6.315659598,24,0
144,29,42.890711963,0,19,0
145,160,139.046804864,0,41,0
146,70,105.063477802,13.345171934,48,0
147,122,108.043716045,14.610423052,153,0
148,252,254.066195718,3.395303308,218,0
149,332,275.446618262,17.724268329,90,0
150,532,311.61755202,120.973866726,446,0
151,240,391.857078731,23.426216533,165,0
152,492,575.5404979344,28.68443656,137,0
153,13,71.34059379,26.475329057,20,0
154,39,64.148525733,11.74459563,61,0
155,117,295.217880726,68.507975922,56,0
156,105,153.894001451,38.272467677,46,0
157,44,99.116176829,5.556779777,36,0
158,224,133.698268956,118.219000783,103,0
159,510,455.440188258,41.9132116361,316,0
160,79,67.209716161,6.252635229,80,0
161,235,142.153804895,25.869998045,24,0
162,634,200.455100728,76.746334161,1012,0
163,5,12.341632902,54.765018704,42,0
164,29,41.568350414,7.192406694,24,0
165,27,66.839084921,4.501883144,136,0
166,91,180.424682952,27.972738669,39,0
167,22,71.978797379,14.724351545,21,0
168,98,203.908111005,46.90624492,53,0
169,165,340.544244804,30.172010603,100,0
170,7,39.404619446,14.839085793999999,5,0
171,46,110.426526833,0.507107907,52,0
